
     *******************************************************************
     *                                                                 *
     *                              3DADE                              *
     *                                                                 *
     *      ANALYTICAL SOLUTIONS FOR SOLUTE TRANSPORT IN 3-D SEMI-     *
     *        INFINITE POROUS MEDIA (WRR 27(10):2719-2733, 1991)       *
     *         WITH FITTING BY NONLINEAR LEAST SQUARES ANALYSIS        *
     *                                                                 *
     *                                                                 *
     *     EXAMPLE 5: FIGURE 7                                         *
     *                                                                 *
     *     MODEL 8                      THIRD-TYPE INLET CONDITION     *
     *     SCENARIO 4: SOLUTE APPLICATION FROM A CIRCULAR              *
     *                 SOURCE AT THE SOIL SURFACE                      *
     *                                                                 *
     *******************************************************************


     MODEL PARAMETERS
     ================
     NAME           VALUE
     V              50.00
     R               1.00
     To              1.00
     MU               .00
     LAM              .00
     Dx             20.00
     Dr             10.00


     CONSTANTS
     =========
     NAME           VALUE
     Co              1.00
     a               7.50


     INDEPENDENT VARIABLES
     =====================
     VARIABLE   INCREMENT        MINIMUM        MAXIMUM
     t               .500           .500          2.000
     x             25.000         25.000         50.000
     r              5.000           .000         20.000


     PREDICTED CONCENTRATIONS
     ========================
        NO        C         C/Co        t         x         r
         1        .4791     .4791       .50     25.00       .00
         2        .3623     .3623       .50     25.00      5.00
         3        .0766     .0766       .50     25.00     10.00
         4        .0019     .0019       .50     25.00     15.00
         5        .0000     .0000       .50     25.00     20.00
         6        .0000     .0000       .50     50.00       .00
         7        .0000     .0000       .50     50.00      5.00
         8        .0000     .0000       .50     50.00     10.00
         9        .0000     .0000       .50     50.00     15.00
        10        .0000     .0000       .50     50.00     20.00
        11        .9352     .9352      1.00     25.00       .00
        12        .6984     .6984      1.00     25.00      5.00
        13        .1636     .1636      1.00     25.00     10.00
        14        .0065     .0065      1.00     25.00     15.00
        15        .0000     .0000      1.00     25.00     20.00
        16        .3940     .3940      1.00     50.00       .00
        17        .2905     .2905      1.00     50.00      5.00
        18        .0995     .0995      1.00     50.00     10.00
        19        .0124     .0124      1.00     50.00     15.00
        20        .0005     .0005      1.00     50.00     20.00
        21        .4561     .4561      1.50     25.00       .00
        22        .3361     .3361      1.50     25.00      5.00
        23        .0871     .0871      1.50     25.00     10.00
        24        .0046     .0046      1.50     25.00     15.00
        25        .0000     .0000      1.50     25.00     20.00
        26        .7535     .7535      1.50     50.00       .00
        27        .5596     .5596      1.50     50.00      5.00
        28        .2024     .2024      1.50     50.00     10.00
        29        .0295     .0295      1.50     50.00     15.00
        30        .0016     .0016      1.50     50.00     20.00
        31        .0000     .0000      2.00     25.00       .00
        32        .0000     .0000      2.00     25.00      5.00
        33        .0000     .0000      2.00     25.00     10.00
        34        .0000     .0000      2.00     25.00     15.00
        35        .0000     .0000      2.00     25.00     20.00
        36        .3598     .3598      2.00     50.00       .00
        37        .2694     .2694      2.00     50.00      5.00
        38        .1031     .1031      2.00     50.00     10.00
        39        .0172     .0172      2.00     50.00     15.00
        40        .0011     .0011      2.00     50.00     20.00



     END OF PROBLEM
     ==============

