 Example 1 - Column Test


 Program CHAIN_2D
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = sec  , M = -


 Time  ***       .0000 ***

    n    x(n)   z(n)       h(n)      h(n+1) ...

    1      .0    61.0        .8        .8
    3      .0    60.8    -150.0    -150.0
    5      .0    60.5    -150.0    -150.0
    7      .0    60.3    -150.0    -150.0
    9      .0    60.0    -150.0    -150.0
   11      .0    59.5    -150.0    -150.0
   13      .0    59.0    -150.0    -150.0
   15      .0    58.0    -150.0    -150.0
   17      .0    57.0    -150.0    -150.0
   19      .0    56.0    -150.0    -150.0
   21      .0    55.0    -150.0    -150.0
   23      .0    54.0    -150.0    -150.0
   25      .0    53.0    -150.0    -150.0
   27      .0    52.0    -150.0    -150.0
   29      .0    51.0    -150.0    -150.0
   31      .0    50.0    -150.0    -150.0
   33      .0    49.0    -150.0    -150.0
   35      .0    48.0    -150.0    -150.0
   37      .0    47.0    -150.0    -150.0
   39      .0    46.0    -150.0    -150.0
   41      .0    45.0    -150.0    -150.0
   43      .0    44.0    -150.0    -150.0
   45      .0    43.0    -150.0    -150.0
   47      .0    42.0    -150.0    -150.0
   49      .0    41.0    -150.0    -150.0
   51      .0    40.0    -150.0    -150.0
   53      .0    39.0    -150.0    -150.0
   55      .0    38.0    -150.0    -150.0
   57      .0    37.0    -150.0    -150.0
   59      .0    36.0    -150.0    -150.0
   61      .0    35.0    -150.0    -150.0
   63      .0    34.0    -150.0    -150.0
   65      .0    33.0    -150.0    -150.0
   67      .0    32.0    -150.0    -150.0
   69      .0    31.0    -150.0    -150.0
   71      .0    30.0    -150.0    -150.0
   73      .0    29.0    -150.0    -150.0
   75      .0    28.0    -150.0    -150.0
   77      .0    27.0    -150.0    -150.0
   79      .0    26.0    -150.0    -150.0
   81      .0    25.0    -150.0    -150.0
   83      .0    24.0    -150.0    -150.0
   85      .0    23.0    -150.0    -150.0
   87      .0    22.0    -150.0    -150.0
   89      .0    21.0    -150.0    -150.0
   91      .0    20.0    -150.0    -150.0
   93      .0    18.0    -150.0    -150.0
   95      .0    16.0    -150.0    -150.0
   97      .0    14.0    -150.0    -150.0
   99      .0    12.0    -150.0    -150.0
  101      .0    10.0    -150.0    -150.0
  103      .0     8.0    -150.0    -150.0
  105      .0     6.0    -150.0    -150.0
  107      .0     4.0    -150.0    -150.0
  109      .0     2.0    -150.0    -150.0
  111      .0      .0    -150.0    -150.0


 Time  ***     60.0000 ***

    n    x(n)   z(n)       h(n)      h(n+1) ...

    1      .0    61.0        .8        .8
    3      .0    60.8      -1.5      -1.5
    5      .0    60.5      -3.8      -3.8
    7      .0    60.3      -6.0      -6.1
    9      .0    60.0      -8.3      -8.4
   11      .0    59.5     -12.7     -12.9
   13      .0    59.0     -16.8     -17.4
   15      .0    58.0     -29.9     -29.4
   17      .0    57.0     -70.2     -61.9
   19      .0    56.0    -145.0    -138.1
   21      .0    55.0    -150.0    -149.9
   23      .0    54.0    -150.0    -150.0
   25      .0    53.0    -150.0    -150.0
   27      .0    52.0    -150.0    -150.0
   29      .0    51.0    -150.0    -150.0
   31      .0    50.0    -150.0    -150.0
   33      .0    49.0    -150.0    -150.0
   35      .0    48.0    -150.0    -150.0
   37      .0    47.0    -150.0    -150.0
   39      .0    46.0    -150.0    -150.0
   41      .0    45.0    -150.0    -150.0
   43      .0    44.0    -150.0    -150.0
   45      .0    43.0    -150.0    -150.0
   47      .0    42.0    -150.0    -150.0
   49      .0    41.0    -150.0    -150.0
   51      .0    40.0    -150.0    -150.0
   53      .0    39.0    -150.0    -150.0
   55      .0    38.0    -150.0    -150.0
   57      .0    37.0    -150.0    -150.0
   59      .0    36.0    -150.0    -150.0
   61      .0    35.0    -150.0    -150.0
   63      .0    34.0    -150.0    -150.0
   65      .0    33.0    -150.0    -150.0
   67      .0    32.0    -150.0    -150.0
   69      .0    31.0    -150.0    -150.0
   71      .0    30.0    -150.0    -150.0
   73      .0    29.0    -150.0    -150.0
   75      .0    28.0    -150.0    -150.0
   77      .0    27.0    -150.0    -150.0
   79      .0    26.0    -150.0    -150.0
   81      .0    25.0    -150.0    -150.0
   83      .0    24.0    -150.0    -150.0
   85      .0    23.0    -150.0    -150.0
   87      .0    22.0    -150.0    -150.0
   89      .0    21.0    -150.0    -150.0
   91      .0    20.0    -150.0    -150.0
   93      .0    18.0    -150.0    -150.0
   95      .0    16.0    -150.0    -150.0
   97      .0    14.0    -150.0    -150.0
