 Example 1 - Column Test                                                        
                      
 
 Program CHAIN_2D
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = sec  , M = -    


 Time  ***       .0000 ***

    n    x(n)   z(n)      th(n)     th(n+1) ...

    1      .0    61.0  .350  .350
    3      .0    60.8  .077  .077
    5      .0    60.5  .077  .077
    7      .0    60.3  .077  .077
    9      .0    60.0  .077  .077
   11      .0    59.5  .077  .077
   13      .0    59.0  .077  .077
   15      .0    58.0  .077  .077
   17      .0    57.0  .077  .077
   19      .0    56.0  .077  .077
   21      .0    55.0  .077  .077
   23      .0    54.0  .077  .077
   25      .0    53.0  .077  .077
   27      .0    52.0  .077  .077
   29      .0    51.0  .077  .077
   31      .0    50.0  .077  .077
   33      .0    49.0  .077  .077
   35      .0    48.0  .077  .077
   37      .0    47.0  .077  .077
   39      .0    46.0  .077  .077
   41      .0    45.0  .077  .077
   43      .0    44.0  .077  .077
   45      .0    43.0  .077  .077
   47      .0    42.0  .077  .077
   49      .0    41.0  .077  .077
   51      .0    40.0  .077  .077
   53      .0    39.0  .077  .077
   55      .0    38.0  .077  .077
   57      .0    37.0  .077  .077
   59      .0    36.0  .077  .077
   61      .0    35.0  .077  .077
   63      .0    34.0  .077  .077
   65      .0    33.0  .077  .077
   67      .0    32.0  .077  .077
   69      .0    31.0  .077  .077
   71      .0    30.0  .077  .077
   73      .0    29.0  .077  .077
   75      .0    28.0  .077  .077
   77      .0    27.0  .077  .077
   79      .0    26.0  .077  .077
   81      .0    25.0  .077  .077
   83      .0    24.0  .077  .077
   85      .0    23.0  .077  .077
   87      .0    22.0  .077  .077
   89      .0    21.0  .077  .077
   91      .0    20.0  .077  .077
   93      .0    18.0  .077  .077
   95      .0    16.0  .077  .077
   97      .0    14.0  .077  .077
   99      .0    12.0  .077  .077
  101      .0    10.0  .077  .077
  103      .0     8.0  .077  .077
  105      .0     6.0  .077  .077
  107      .0     4.0  .077  .077
  109      .0     2.0  .077  .077
  111      .0      .0  .077  .077


 Time  ***     60.0000 ***

    n    x(n)   z(n)      th(n)     th(n+1) ...

    1      .0    61.0  .350  .350
    3      .0    60.8  .349  .349
    5      .0    60.5  .346  .346
    7      .0    60.3  .340  .340
    9      .0    60.0  .332  .332
   11      .0    59.5  .313  .312
   13      .0    59.0  .292  .289
   15      .0    58.0  .231  .233
   17      .0    57.0  .133  .145
   19      .0    56.0  .078  .081
   21      .0    55.0  .077  .077
   23      .0    54.0  .077  .077
   25      .0    53.0  .077  .077
   27      .0    52.0  .077  .077
   29      .0    51.0  .077  .077
   31      .0    50.0  .077  .077
   33      .0    49.0  .077  .077
   35      .0    48.0  .077  .077
   37      .0    47.0  .077  .077
   39      .0    46.0  .077  .077
   41      .0    45.0  .077  .077
   43      .0    44.0  .077  .077
   45      .0    43.0  .077  .077
   47      .0    42.0  .077  .077
   49      .0    41.0  .077  .077
   51      .0    40.0  .077  .077
   53      .0    39.0  .077  .077
   55      .0    38.0  .077  .077
   57      .0    37.0  .077  .077
   59      .0    36.0  .077  .077
   61      .0    35.0  .077  .077
   63      .0    34.0  .077  .077
   65      .0    33.0  .077  .077
   67      .0    32.0  .077  .077
   69      .0    31.0  .077  .077
   71      .0    30.0  .077  .077
   73      .0    29.0  .077  .077
   75      .0    28.0  .077  .077
   77      .0    27.0  .077  .077
   79      .0    26.0  .077  .077
   81      .0    25.0  .077  .077
   83      .0    24.0  .077  .077
   85      .0    23.0  .077  .077
   87      .0    22.0  .077  .077
   89      .0    21.0  .077  .077
   91      .0    20.0  .077  .077
   93      .0    18.0  .077  .077
   95      .0    16.0  .077  .077
   97      .0    14.0  .077  .077
   99      .0    12.0  .077  .077
  101      .0    10.0  .077  .077
  103      .0     8.0  .077  .077
  105      .0     6.0  .077  .077
  107      .0     4.0  .077  .077
  109      .0     2.0  .077  .077
  111      .0      .0  .077  .077


 Time  ***    900.0000 ***

    n    x(n)   z(n)      th(n)     th(n+1) ...

    1      .0    61.0  .350  .350
    3      .0    60.8  .350  .350
    5      .0    60.5  .350  .350
    7      .0    60.3  .350  .350
    9      .0    60.0  .350  .350
   11      .0    59.5  .349  .349
   13      .0    59.0  .347  .347
   15      .0    58.0  .343  .343
   17      .0    57.0  .337  .337
   19      .0    56.0  .329  .329
   21      .0    55.0  .321  .321
   23      .0    54.0  .312  .312
   25      .0    53.0  .303  .303
   27      .0    52.0  .294  .294
   29      .0    51.0  .285  .285
   31      .0    50.0  .274  .274
   33      .0    49.0  .260  .260
   35      .0    48.0  .241  .241
   37      .0    47.0  .214  .214
   39      .0    46.0  .176  .177
   41      .0    45.0  .125  .130
   43      .0    44.0  .084  .088
   45      .0    43.0  .077  .077
   47      .0    42.0  .077  .077
   49      .0    41.0  .077  .077
   51      .0    40.0  .077  .077
   53      .0    39.0  .077  .077
   55      .0    38.0  .077  .077
   57      .0    37.0  .077  .077
   59      .0    36.0  .077  .077
   61      .0    35.0  .077  .077
   63      .0    34.0  .077  .077
   65      .0    33.0  .077  .077
   67      .0    32.0  .077  .077
   69      .0    31.0  .077  .077
