 Example 2 - Grass Field Problem (Hupselse Beek 1982)                           
                      
 
 Program CHAIN_2D
 Time dependent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = day  , M = -    


 Time  ***     90.0000 ***

    n    x(n)   z(n)       h(n)      h(n+1) ...

    1      .0   230.0     -55.0     -55.0
    3      .0   229.0     -54.0     -54.0
    5      .0   228.0     -53.0     -53.0
    7      .0   226.0     -51.0     -51.0
    9      .0   224.0     -49.0     -49.0
   11      .0   220.0     -45.0     -45.0
   13      .0   215.0     -40.0     -40.0
   15      .0   210.0     -35.0     -35.0
   17      .0   205.0     -30.0     -30.0
   19      .0   200.0     -25.0     -25.0
   21      .0   190.0     -15.0     -15.0
   23      .0   180.0      -5.0      -5.0
   25      .0   170.0       5.0       5.0
   27      .0   160.0      15.0      15.0
   29      .0   150.0      25.0      25.0
   31      .0   140.0      35.0      35.0
   33      .0   130.0      45.0      45.0
   35      .0   120.0      55.0      55.0
   37      .0   110.0      65.0      65.0
   39      .0   100.0      75.0      75.0
   41      .0    90.0      85.0      85.0
   43      .0    80.0      95.0      95.0
   45      .0    70.0     105.0     105.0
   47      .0    60.0     115.0     115.0
   49      .0    50.0     125.0     125.0
   51      .0    40.0     135.0     135.0
   53      .0    30.0     145.0     145.0
   55      .0    20.0     155.0     155.0
   57      .0    10.0     165.0     165.0
   59      .0     5.0     170.0     170.0
   61      .0     2.0     173.0     173.0
   63      .0     1.0     174.0     174.0
   65      .0      .0     175.0     175.0


 Time  ***    120.0000 ***

    n    x(n)   z(n)       h(n)      h(n+1) ...

    1      .0   230.0     -84.2     -84.2
    3      .0   229.0     -83.8     -83.8
    5      .0   228.0     -83.5     -83.5
    7      .0   226.0     -82.7     -82.7
    9      .0   224.0     -81.8     -81.8
   11      .0   220.0     -79.8     -79.8
   13      .0   215.0     -76.9     -76.9
   15      .0   210.0     -73.5     -73.5
   17      .0   205.0     -69.7     -69.7
   19      .0   200.0     -65.5     -65.5
   21      .0   190.0     -56.5     -56.5
   23      .0   180.0     -46.7     -46.7
   25      .0   170.0     -36.7     -36.7
   27      .0   160.0     -26.8     -26.8
   29      .0   150.0     -16.8     -16.8
   31      .0   140.0      -6.8      -6.8
   33      .0   130.0       3.2       3.2
   35      .0   120.0      13.2      13.2
   37      .0   110.0      23.2      23.2
   39      .0   100.0      33.2      33.2
   41      .0    90.0      43.2      43.2
   43      .0    80.0      53.2      53.2
   45      .0    70.0      63.2      63.2
   47      .0    60.0      73.2      73.2
   49      .0    50.0      83.2      83.2
   51      .0    40.0      93.2      93.2
   53      .0    30.0     103.2     103.2
   55      .0    20.0     113.2     113.2
   57      .0    10.0     123.2     123.2
   59      .0     5.0     128.2     128.2
   61      .0     2.0     131.2     131.2
   63      .0     1.0     132.2     132.2
   65      .0      .0     133.2     133.2


 Time  ***    151.0000 ***

    n    x(n)   z(n)       h(n)      h(n+1) ...

    1      .0   230.0    -147.2    -147.2
    3      .0   229.0    -146.2    -146.2
    5      .0   228.0    -145.2    -145.2
    7      .0   226.0    -143.2    -143.2
    9      .0   224.0    -140.8    -140.8
   11      .0   220.0    -135.4    -135.4
   13      .0   215.0    -127.6    -127.6
   15      .0   210.0    -119.0    -119.0
   17      .0   205.0    -109.8    -109.8
   19      .0   200.0    -100.5    -100.5
   21      .0   190.0     -82.8     -82.8
   23      .0   180.0     -71.0     -71.0
   25      .0   170.0     -60.3     -60.3
   27      .0   160.0     -49.8     -49.8
   29      .0   150.0     -39.6     -39.6
   31      .0   140.0     -29.5     -29.5
   33      .0   130.0     -19.4     -19.4
   35      .0   120.0      -9.4      -9.4
   37      .0   110.0        .6        .6
   39      .0   100.0      10.6      10.6
   41      .0    90.0      20.6      20.6
   43      .0    80.0      30.6      30.6
   45      .0    70.0      40.6      40.6
   47      .0    60.0      50.6      50.6
   49      .0    50.0      60.5      60.5
   51      .0    40.0      70.5      70.5
   53      .0    30.0      80.5      80.5
   55      .0    20.0      90.5      90.5
   57      .0    10.0     100.5     100.5
   59      .0     5.0     105.5     105.5
   61      .0     2.0     108.5     108.5
   63      .0     1.0     109.5     109.5
   65      .0      .0     110.5     110.5


 Time  ***    181.0000 ***

    n    x(n)   z(n)       h(n)      h(n+1) ...

    1      .0   230.0    -108.2    -108.2
    3      .0   229.0    -107.3    -107.3
    5      .0   228.0    -106.4    -106.4
    7      .0   226.0    -104.8    -104.8
    9      .0   224.0    -103.3    -103.3
   11      .0   220.0    -100.6    -100.6
   13      .0   215.0     -97.7     -97.7
   15      .0   210.0     -94.9     -94.9
   17      .0   205.0     -92.1     -92.1
   19      .0   200.0     -89.1     -89.1
   21      .0   190.0     -82.4     -82.4
   23      .0   180.0     -73.3     -73.3
   25      .0   170.0     -63.8     -63.8
   27      .0   160.0     -54.1     -54.1
   29      .0   150.0     -44.3     -44.3
   31      .0   140.0     -34.4     -34.4
   33      .0   130.0     -24.5     -24.5
   35      .0   120.0     -14.5     -14.5
   37      .0   110.0      -4.5      -4.5
   39      .0   100.0       5.5       5.5
   41      .0    90.0      15.5      15.5
   43      .0    80.0      25.5      25.5
   45      .0    70.0      35.5      35.5
   47      .0    60.0      45.5      45.5
   49      .0    50.0      55.5      55.5
   51      .0    40.0      65.5      65.5
   53      .0    30.0      75.5      75.5
   55      .0    20.0      85.5      85.5
   57      .0    10.0      95.5      95.5
   59      .0     5.0     100.5     100.5
   61      .0     2.0     103.5     103.5
   63      .0     1.0     104.5     104.5
   65      .0      .0     105.5     105.5


 Time  ***    212.0000 ***

    n    x(n)   z(n)       h(n)      h(n+1) ...

    1      .0   230.0    -422.1    -422.3
    3      .0   229.0    -422.3    -422.2
    5      .0   228.0    -423.9    -423.8
    7      .0   226.0    -424.8    -424.8
    9      .0   224.0    -421.6    -421.6
   11      .0   220.0    -403.7    -403.7
   13      .0   215.0    -365.6    -365.7
   15      .0   210.0    -319.0    -319.0
   17      .0   205.0    -271.9    -271.9
   19      .0   200.0    -228.8    -228.8
   21      .0   190.0    -166.9    -167.0
   23      .0   180.0    -144.2    -144.2
   25      .0   170.0    -128.5    -128.5
   27      .0   160.0    -114.7    -114.7
   29      .0   150.0    -102.2    -102.2
   31      .0   140.0     -90.6     -90.6
   33      .0   130.0     -79.5     -79.5
   35      .0   120.0     -68.8     -68.8
   37      .0   110.0     -58.4     -58.4
   39      .0   100.0     -48.1     -48.1
   41      .0    90.0     -38.0     -38.0
   43      .0    80.0     -27.9     -27.9
   45      .0    70.0     -17.9     -17.9
   47      .0    60.0      -7.9      -7.9
   49      .0    50.0       2.1       2.1
   51      .0    40.0      12.1      12.1
   53      .0    30.0      22.1      22.1
   55      .0    20.0      32.1      32.1
   57      .0    10.0      42.1      42.1
   59      .0     5.0      47.1      47.1
   61      .0     2.0      50.1      50.1
   63      .0     1.0      51.1      51.1
   65      .0      .0      52.1      52.1


 Time  ***    243.0000 ***

    n    x(n)   z(n)       h(n)      h(n+1) ...

    1      .0   230.0    -206.0    -206.0
    3      .0   229.0    -206.2    -206.2
    5      .0   228.0    -206.4    -206.4
    7      .0   226.0    -206.5    -206.5
    9      .0   224.0    -206.3    -206.3
   11      .0   220.0    -204.9    -204.9
   13      .0   215.0    -201.5    -201.5
   15      .0   210.0    -196.7    -196.7
   17      .0   205.0    -190.6    -190.6
   19      .0   200.0    -183.4    -183.4
   21      .0   190.0    -167.5    -167.5
   23      .0   180.0    -155.5    -155.5
   25      .0   170.0    -144.7    -144.7
   27      .0   160.0    -134.2    -134.2
   29      .0   150.0    -123.9    -123.9
   31      .0   140.0    -113.7    -113.7
   33      .0   130.0    -103.6    -103.6
   35      .0   120.0     -93.6     -93.6
   37      .0   110.0     -83.6     -83.6
   39      .0   100.0     -73.6     -73.6
