 Example 3a - Comparison with the 2-D analytical solution                       
                      
 
 Program CHAIN_2D
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = m    , T = days , M = -    


 Time:     50.0000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    1    1     .0     .0    1   .150E+00  -.300E-01         .0   .300       .00  .100E+01
    2    2   10.0     .0    1   .300E+00  -.300E-01         .0   .300       .00  .100E+01
    3    3   20.0     .0    1   .300E+00  -.300E-01         .0   .300       .00  .100E+01
    4    4   30.0     .0    1   .300E+00  -.300E-01         .0   .300       .00  .100E+01
    5    5   40.0     .0    1   .225E+00  -.300E-01         .0   .300       .00  .100E+01
    6    6   45.0     .0    1   .135E+00  -.300E-01         .0   .300       .00  .100E+01
    7    7   49.0     .0    1   .900E-01  -.300E-01         .0   .300       .00  .100E+01
    8    8   51.0     .0    1   .900E-01  -.300E-01         .0   .300       .00  .000E+00
    9    9   55.0     .0    1   .135E+00  -.300E-01         .0   .300       .00  .000E+00
   10   10   60.0     .0    1   .180E+00  -.300E-01         .0   .300       .00  .000E+00
   11   11   67.0     .0    1   .225E+00  -.300E-01         .0   .300       .00  .000E+00
   12   12   75.0     .0    1   .270E+00  -.300E-01         .0   .300       .00  .000E+00
   13   13   85.0     .0    1   .375E+00  -.300E-01         .0   .300       .00  .000E+00
   14   14  100.0     .0    1   .525E+00  -.300E-01         .0   .300       .00  .000E+00
   15   15  120.0     .0    1   .300E+00  -.300E-01         .0   .300       .00  .000E+00
   16  301     .0 -200.0    2  -.150E+00   .300E-01         .0   .300       .00  .150E-16
   17  302   10.0 -200.0    2  -.300E+00   .300E-01         .0   .300       .00  .197E-16
   18  303   20.0 -200.0    2  -.300E+00   .300E-01         .0   .300       .00  .274E-16
   19  304   30.0 -200.0    2  -.300E+00   .300E-01         .0   .300       .00  .327E-16
   20  305   40.0 -200.0    2  -.225E+00   .300E-01         .0   .300       .00  .361E-16
   21  306   45.0 -200.0    2  -.135E+00   .300E-01         .0   .300       .00  .345E-16
   22  307   49.0 -200.0    2  -.900E-01   .300E-01         .0   .300       .00  .293E-16
   23  308   51.0 -200.0    2  -.900E-01   .300E-01         .0   .300       .00  .264E-16
   24  309   55.0 -200.0    2  -.135E+00   .300E-01         .0   .300       .00  .204E-16
   25  310   60.0 -200.0    2  -.180E+00   .300E-01         .0   .300       .00  .145E-16
   26  311   67.0 -200.0    2  -.225E+00   .300E-01         .0   .300       .00  .909E-17
   27  312   75.0 -200.0    2  -.270E+00   .300E-01         .0   .300       .00  .490E-17
   28  313   85.0 -200.0    2  -.375E+00   .300E-01         .0   .300       .00  .201E-17
   29  314  100.0 -200.0    2  -.525E+00   .300E-01         .0   .300       .00  .636E-18
   30  315  120.0 -200.0    2  -.300E+00   .300E-01         .0   .300       .00  .263E-18


 Time:    100.0000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    1    1     .0     .0    1   .150E+00  -.300E-01         .0   .300       .00  .100E+01
    2    2   10.0     .0    1   .300E+00  -.300E-01         .0   .300       .00  .100E+01
    3    3   20.0     .0    1   .300E+00  -.300E-01         .0   .300       .00  .100E+01
    4    4   30.0     .0    1   .300E+00  -.300E-01         .0   .300       .00  .100E+01
    5    5   40.0     .0    1   .225E+00  -.300E-01         .0   .300       .00  .100E+01
    6    6   45.0     .0    1   .135E+00  -.300E-01         .0   .300       .00  .100E+01
    7    7   49.0     .0    1   .900E-01  -.300E-01         .0   .300       .00  .100E+01
    8    8   51.0     .0    1   .900E-01  -.300E-01         .0   .300       .00  .000E+00
    9    9   55.0     .0    1   .135E+00  -.300E-01         .0   .300       .00  .000E+00
   10   10   60.0     .0    1   .180E+00  -.300E-01         .0   .300       .00  .000E+00
   11   11   67.0     .0    1   .225E+00  -.300E-01         .0   .300       .00  .000E+00
   12   12   75.0     .0    1   .270E+00  -.300E-01         .0   .300       .00  .000E+00
   13   13   85.0     .0    1   .375E+00  -.300E-01         .0   .300       .00  .000E+00
   14   14  100.0     .0    1   .525E+00  -.300E-01         .0   .300       .00  .000E+00
   15   15  120.0     .0    1   .300E+00  -.300E-01         .0   .300       .00  .000E+00
   16  301     .0 -200.0    2  -.150E+00   .300E-01         .0   .300       .00  .895E-12
   17  302   10.0 -200.0    2  -.300E+00   .300E-01         .0   .300       .00  .101E-11
   18  303   20.0 -200.0    2  -.300E+00   .300E-01         .0   .300       .00  .126E-11
   19  304   30.0 -200.0    2  -.300E+00   .300E-01         .0   .300       .00  .142E-11
   20  305   40.0 -200.0    2  -.225E+00   .300E-01         .0   .300       .00  .144E-11
   21  306   45.0 -200.0    2  -.135E+00   .300E-01         .0   .300       .00  .134E-11
   22  307   49.0 -200.0    2  -.900E-01   .300E-01         .0   .300       .00  .117E-11
   23  308   51.0 -200.0    2  -.900E-01   .300E-01         .0   .300       .00  .109E-11
   24  309   55.0 -200.0    2  -.135E+00   .300E-01         .0   .300       .00  .897E-12
   25  310   60.0 -200.0    2  -.180E+00   .300E-01         .0   .300       .00  .691E-12
   26  311   67.0 -200.0    2  -.225E+00   .300E-01         .0   .300       .00  .473E-12
   27  312   75.0 -200.0    2  -.270E+00   .300E-01         .0   .300       .00  .288E-12
   28  313   85.0 -200.0    2  -.375E+00   .300E-01         .0   .300       .00  .142E-12
   29  314  100.0 -200.0    2  -.525E+00   .300E-01         .0   .300       .00  .538E-13
   30  315  120.0 -200.0    2  -.300E+00   .300E-01         .0   .300       .00  .259E-13


 Time:    365.0000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    1    1     .0     .0    1   .150E+00  -.300E-01         .0   .300       .00  .100E+01
    2    2   10.0     .0    1   .300E+00  -.300E-01         .0   .300       .00  .100E+01
    3    3   20.0     .0    1   .300E+00  -.300E-01         .0   .300       .00  .100E+01
    4    4   30.0     .0    1   .300E+00  -.300E-01         .0   .300       .00  .100E+01
    5    5   40.0     .0    1   .225E+00  -.300E-01         .0   .300       .00  .100E+01
    6    6   45.0     .0    1   .135E+00  -.300E-01         .0   .300       .00  .100E+01
    7    7   49.0     .0    1   .900E-01  -.300E-01         .0   .300       .00  .100E+01
    8    8   51.0     .0    1   .900E-01  -.300E-01         .0   .300       .00  .000E+00
    9    9   55.0     .0    1   .135E+00  -.300E-01         .0   .300       .00  .000E+00
   10   10   60.0     .0    1   .180E+00  -.300E-01         .0   .300       .00  .000E+00
   11   11   67.0     .0    1   .225E+00  -.300E-01         .0   .300       .00  .000E+00
   12   12   75.0     .0    1   .270E+00  -.300E-01         .0   .300       .00  .000E+00
   13   13   85.0     .0    1   .375E+00  -.300E-01         .0   .300       .00  .000E+00
   14   14  100.0     .0    1   .525E+00  -.300E-01         .0   .300       .00  .000E+00
   15   15  120.0     .0    1   .300E+00  -.300E-01         .0   .300       .00  .000E+00
   16  301     .0 -200.0    2  -.150E+00   .300E-01         .0   .300       .00  .727E-05
   17  302   10.0 -200.0    2  -.300E+00   .300E-01         .0   .300       .00  .717E-05
   18  303   20.0 -200.0    2  -.300E+00   .300E-01         .0   .300       .00  .750E-05
   19  304   30.0 -200.0    2  -.300E+00   .300E-01         .0   .300       .00  .747E-05
   20  305   40.0 -200.0    2  -.225E+00   .300E-01         .0   .300       .00  .685E-05
   21  306   45.0 -200.0    2  -.135E+00   .300E-01         .0   .300       .00  .632E-05
   22  307   49.0 -200.0    2  -.900E-01   .300E-01         .0   .300       .00  .577E-05
   23  308   51.0 -200.0    2  -.900E-01   .300E-01         .0   .300       .00  .551E-05
   24  309   55.0 -200.0    2  -.135E+00   .300E-01         .0   .300       .00  .492E-05
   25  310   60.0 -200.0    2  -.180E+00   .300E-01         .0   .300       .00  .419E-05
   26  311   67.0 -200.0    2  -.225E+00   .300E-01         .0   .300       .00  .327E-05
   27  312   75.0 -200.0    2  -.270E+00   .300E-01         .0   .300       .00  .238E-05
   28  313   85.0 -200.0    2  -.375E+00   .300E-01         .0   .300       .00  .152E-05
   29  314  100.0 -200.0    2  -.525E+00   .300E-01         .0   .300       .00  .798E-06
   30  315  120.0 -200.0    2  -.300E+00   .300E-01         .0   .300       .00  .492E-06
