 Example 4 - Solute Transport with Nitrification Chain                          
                      
 
 Program CHAIN_2D
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = m    , T = days , M = -    


 Time  ***       .0000 ***

    n    x(n)   z(n)       h(n)      h(n+1) ...

    1      .0      .0        .0        .0
    3      .0    -1.0        .0        .0
    5      .0    -2.0        .0        .0
    7      .0    -3.0        .0        .0
    9      .0    -4.0        .0        .0
   11      .0    -5.0        .0        .0
   13      .0    -6.0        .0        .0
   15      .0    -7.0        .0        .0
   17      .0    -8.0        .0        .0
   19      .0    -9.0        .0        .0
   21      .0   -10.0        .0        .0
   23      .0   -11.0        .0        .0
   25      .0   -12.0        .0        .0
   27      .0   -13.0        .0        .0
   29      .0   -14.0        .0        .0
   31      .0   -15.0        .0        .0
   33      .0   -16.0        .0        .0
   35      .0   -17.0        .0        .0
   37      .0   -18.0        .0        .0
   39      .0   -19.0        .0        .0
   41      .0   -20.0        .0        .0
   43      .0   -21.0        .0        .0
   45      .0   -22.0        .0        .0
   47      .0   -23.0        .0        .0
   49      .0   -24.0        .0        .0
   51      .0   -25.0        .0        .0
   53      .0   -26.0        .0        .0
   55      .0   -27.0        .0        .0
   57      .0   -28.0        .0        .0
   59      .0   -29.0        .0        .0
   61      .0   -30.0        .0        .0
   63      .0   -31.0        .0        .0
   65      .0   -32.0        .0        .0
   67      .0   -33.0        .0        .0
   69      .0   -34.0        .0        .0
   71      .0   -35.0        .0        .0
   73      .0   -36.0        .0        .0
   75      .0   -37.0        .0        .0
   77      .0   -38.0        .0        .0
   79      .0   -39.0        .0        .0
   81      .0   -40.0        .0        .0
   83      .0   -41.0        .0        .0
   85      .0   -42.0        .0        .0
   87      .0   -43.0        .0        .0
   89      .0   -44.0        .0        .0
   91      .0   -45.0        .0        .0
   93      .0   -46.0        .0        .0
   95      .0   -47.0        .0        .0
   97      .0   -48.0        .0        .0
   99      .0   -49.0        .0        .0
  101      .0   -50.0        .0        .0
  103      .0   -51.0        .0        .0
  105      .0   -52.0        .0        .0
  107      .0   -53.0        .0        .0
  109      .0   -54.0        .0        .0
  111      .0   -55.0        .0        .0
  113      .0   -56.0        .0        .0
  115      .0   -57.0        .0        .0
  117      .0   -58.0        .0        .0
  119      .0   -59.0        .0        .0
  121      .0   -60.0        .0        .0
  123      .0   -61.0        .0        .0
  125      .0   -62.0        .0        .0
  127      .0   -63.0        .0        .0
  129      .0   -64.0        .0        .0
  131      .0   -65.0        .0        .0
  133      .0   -66.0        .0        .0
  135      .0   -67.0        .0        .0
  137      .0   -68.0        .0        .0
  139      .0   -69.0        .0        .0
  141      .0   -70.0        .0        .0
  143      .0   -71.0        .0        .0
  145      .0   -72.0        .0        .0
  147      .0   -73.0        .0        .0
  149      .0   -74.0        .0        .0
  151      .0   -75.0        .0        .0
  153      .0   -76.0        .0        .0
  155      .0   -77.0        .0        .0
  157      .0   -78.0        .0        .0
  159      .0   -79.0        .0        .0
  161      .0   -80.0        .0        .0
  163      .0   -81.0        .0        .0
  165      .0   -82.0        .0        .0
  167      .0   -83.0        .0        .0
  169      .0   -84.0        .0        .0
  171      .0   -85.0        .0        .0
  173      .0   -86.0        .0        .0
  175      .0   -87.0        .0        .0
  177      .0   -88.0        .0        .0
  179      .0   -89.0        .0        .0
  181      .0   -90.0        .0        .0
  183      .0   -91.0        .0        .0
  185      .0   -92.0        .0        .0
  187      .0   -93.0        .0        .0
  189      .0   -94.0        .0        .0
  191      .0   -95.0        .0        .0
  193      .0   -96.0        .0        .0
  195      .0   -97.0        .0        .0
  197      .0   -98.0        .0        .0
  199      .0   -99.0        .0        .0
  201      .0  -100.0        .0        .0
  203      .0  -101.0        .0        .0
  205      .0  -102.0        .0        .0
  207      .0  -103.0        .0        .0
  209      .0  -104.0        .0        .0
  211      .0  -105.0        .0        .0
  213      .0  -106.0        .0        .0
  215      .0  -107.0        .0        .0
  217      .0  -108.0        .0        .0
  219      .0  -109.0        .0        .0
  221      .0  -110.0        .0        .0
  223      .0  -111.0        .0        .0
  225      .0  -112.0        .0        .0
  227      .0  -113.0        .0        .0
  229      .0  -114.0        .0        .0
  231      .0  -115.0        .0        .0
  233      .0  -116.0        .0        .0
  235      .0  -117.0        .0        .0
  237      .0  -118.0        .0        .0
  239      .0  -119.0        .0        .0
  241      .0  -120.0        .0        .0
  243      .0  -121.0        .0        .0
  245      .0  -122.0        .0        .0
  247      .0  -123.0        .0        .0
  249      .0  -124.0        .0        .0
  251      .0  -125.0        .0        .0
  253      .0  -126.0        .0        .0
  255      .0  -127.0        .0        .0
  257      .0  -128.0        .0        .0
  259      .0  -129.0        .0        .0
  261      .0  -130.0        .0        .0
  263      .0  -131.0        .0        .0
  265      .0  -132.0        .0        .0
  267      .0  -133.0        .0        .0
  269      .0  -134.0        .0        .0
  271      .0  -135.0        .0        .0
  273      .0  -136.0        .0        .0
  275      .0  -137.0        .0        .0
  277      .0  -138.0        .0        .0
  279      .0  -139.0        .0        .0
  281      .0  -140.0        .0        .0
  283      .0  -141.0        .0        .0
  285      .0  -142.0        .0        .0
  287      .0  -143.0        .0        .0
  289      .0  -144.0        .0        .0
  291      .0  -145.0        .0        .0
  293      .0  -146.0        .0        .0
  295      .0  -147.0        .0        .0
  297      .0  -148.0        .0        .0
  299      .0  -149.0        .0        .0
  301      .0  -150.0        .0        .0
  303      .0  -151.0        .0        .0
  305      .0  -152.0        .0        .0
  307      .0  -153.0        .0        .0
  309      .0  -154.0        .0        .0
  311      .0  -155.0        .0        .0
  313      .0  -156.0        .0        .0
  315      .0  -157.0        .0        .0
  317      .0  -158.0        .0        .0
  319      .0  -159.0        .0        .0
  321      .0  -160.0        .0        .0
  323      .0  -161.0        .0        .0
  325      .0  -162.0        .0        .0
  327      .0  -163.0        .0        .0
  329      .0  -164.0        .0        .0
  331      .0  -165.0        .0        .0
  333      .0  -166.0        .0        .0
  335      .0  -167.0        .0        .0
  337      .0  -168.0        .0        .0
  339      .0  -169.0        .0        .0
  341      .0  -170.0        .0        .0
  343      .0  -171.0        .0        .0
  345      .0  -172.0        .0        .0
  347      .0  -173.0        .0        .0
  349      .0  -174.0        .0        .0
  351      .0  -175.0        .0        .0
  353      .0  -176.0        .0        .0
  355      .0  -177.0        .0        .0
  357      .0  -178.0        .0        .0
  359      .0  -179.0        .0        .0
  361      .0  -180.0        .0        .0
  363      .0  -181.0        .0        .0
  365      .0  -182.0        .0        .0
  367      .0  -183.0        .0        .0
  369      .0  -184.0        .0        .0
  371      .0  -185.0        .0        .0
  373      .0  -186.0        .0        .0
  375      .0  -187.0        .0        .0
  377      .0  -188.0        .0        .0
  379      .0  -189.0        .0        .0
  381      .0  -190.0        .0        .0
  383      .0  -191.0        .0        .0
  385      .0  -192.0        .0        .0
  387      .0  -193.0        .0        .0
  389      .0  -194.0        .0        .0
  391      .0  -195.0        .0        .0
  393      .0  -196.0        .0        .0
  395      .0  -197.0        .0        .0
  397      .0  -198.0        .0        .0
  399      .0  -199.0        .0        .0
  401      .0  -200.0        .0        .0


 Time  ***     50.0000 ***

    n    x(n)   z(n)       h(n)      h(n+1) ...

    1      .0      .0        .0        .0
    3      .0    -1.0        .0        .0
    5      .0    -2.0        .0        .0
    7      .0    -3.0        .0        .0
    9      .0    -4.0        .0        .0
   11      .0    -5.0        .0        .0
   13      .0    -6.0        .0        .0
   15      .0    -7.0        .0        .0
   17      .0    -8.0        .0        .0
   19      .0    -9.0        .0        .0
   21      .0   -10.0        .0        .0
   23      .0   -11.0        .0        .0
   25      .0   -12.0        .0        .0
   27      .0   -13.0        .0        .0
   29      .0   -14.0        .0        .0
   31      .0   -15.0        .0        .0
   33      .0   -16.0        .0        .0
   35      .0   -17.0        .0        .0
   37      .0   -18.0        .0        .0
   39      .0   -19.0        .0        .0
   41      .0   -20.0        .0        .0
   43      .0   -21.0        .0        .0
   45      .0   -22.0        .0        .0
   47      .0   -23.0        .0        .0
   49      .0   -24.0        .0        .0
   51      .0   -25.0        .0        .0
   53      .0   -26.0        .0        .0
   55      .0   -27.0        .0        .0
   57      .0   -28.0        .0        .0
   59      .0   -29.0        .0        .0
   61      .0   -30.0        .0        .0
   63      .0   -31.0        .0        .0
   65      .0   -32.0        .0        .0
   67      .0   -33.0        .0        .0
   69      .0   -34.0        .0        .0
   71      .0   -35.0        .0        .0
   73      .0   -36.0        .0        .0
   75      .0   -37.0        .0        .0
   77      .0   -38.0        .0        .0
   79      .0   -39.0        .0        .0
   81      .0   -40.0        .0        .0
   83      .0   -41.0        .0        .0
   85      .0   -42.0        .0        .0
   87      .0   -43.0        .0        .0
   89      .0   -44.0        .0        .0
   91      .0   -45.0        .0        .0
   93      .0   -46.0        .0        .0
   95      .0   -47.0        .0        .0
   97      .0   -48.0        .0        .0
   99      .0   -49.0        .0        .0
  101      .0   -50.0        .0        .0
  103      .0   -51.0        .0        .0
  105      .0   -52.0        .0        .0
  107      .0   -53.0        .0        .0
  109      .0   -54.0        .0        .0
  111      .0   -55.0        .0        .0
  113      .0   -56.0        .0        .0
  115      .0   -57.0        .0        .0
  117      .0   -58.0        .0        .0
  119      .0   -59.0        .0        .0
  121      .0   -60.0        .0        .0
  123      .0   -61.0        .0        .0
  125      .0   -62.0        .0        .0
  127      .0   -63.0        .0        .0
  129      .0   -64.0        .0        .0
  131      .0   -65.0        .0        .0
  133      .0   -66.0        .0        .0
  135      .0   -67.0        .0        .0
  137      .0   -68.0        .0        .0
  139      .0   -69.0        .0        .0
  141      .0   -70.0        .0        .0
  143      .0   -71.0        .0        .0
  145      .0   -72.0        .0        .0
  147      .0   -73.0        .0        .0
  149      .0   -74.0        .0        .0
  151      .0   -75.0        .0        .0
  153      .0   -76.0        .0        .0
  155      .0   -77.0        .0        .0
  157      .0   -78.0        .0        .0
  159      .0   -79.0        .0        .0
  161      .0   -80.0        .0        .0
  163      .0   -81.0        .0        .0
  165      .0   -82.0        .0        .0
  167      .0   -83.0        .0        .0
  169      .0   -84.0        .0        .0
  171      .0   -85.0        .0        .0
  173      .0   -86.0        .0        .0
  175      .0   -87.0        .0        .0
  177      .0   -88.0        .0        .0
  179      .0   -89.0        .0        .0
