 Example 4 - Solute Transport with Nitrification Chain                          
                      
 
 Program CHAIN_2D
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = m    , T = days , M = -    


 Time  ***       .0000 ***

    n    x(n)   z(n)      th(n)     th(n+1) ...

    1      .0      .0 1.000 1.000
    3      .0    -1.0 1.000 1.000
    5      .0    -2.0 1.000 1.000
    7      .0    -3.0 1.000 1.000
    9      .0    -4.0 1.000 1.000
   11      .0    -5.0 1.000 1.000
   13      .0    -6.0 1.000 1.000
   15      .0    -7.0 1.000 1.000
   17      .0    -8.0 1.000 1.000
   19      .0    -9.0 1.000 1.000
   21      .0   -10.0 1.000 1.000
   23      .0   -11.0 1.000 1.000
   25      .0   -12.0 1.000 1.000
   27      .0   -13.0 1.000 1.000
   29      .0   -14.0 1.000 1.000
   31      .0   -15.0 1.000 1.000
   33      .0   -16.0 1.000 1.000
   35      .0   -17.0 1.000 1.000
   37      .0   -18.0 1.000 1.000
   39      .0   -19.0 1.000 1.000
   41      .0   -20.0 1.000 1.000
   43      .0   -21.0 1.000 1.000
   45      .0   -22.0 1.000 1.000
   47      .0   -23.0 1.000 1.000
   49      .0   -24.0 1.000 1.000
   51      .0   -25.0 1.000 1.000
   53      .0   -26.0 1.000 1.000
   55      .0   -27.0 1.000 1.000
   57      .0   -28.0 1.000 1.000
   59      .0   -29.0 1.000 1.000
   61      .0   -30.0 1.000 1.000
   63      .0   -31.0 1.000 1.000
   65      .0   -32.0 1.000 1.000
   67      .0   -33.0 1.000 1.000
   69      .0   -34.0 1.000 1.000
   71      .0   -35.0 1.000 1.000
   73      .0   -36.0 1.000 1.000
   75      .0   -37.0 1.000 1.000
   77      .0   -38.0 1.000 1.000
   79      .0   -39.0 1.000 1.000
   81      .0   -40.0 1.000 1.000
   83      .0   -41.0 1.000 1.000
   85      .0   -42.0 1.000 1.000
   87      .0   -43.0 1.000 1.000
   89      .0   -44.0 1.000 1.000
   91      .0   -45.0 1.000 1.000
   93      .0   -46.0 1.000 1.000
   95      .0   -47.0 1.000 1.000
   97      .0   -48.0 1.000 1.000
   99      .0   -49.0 1.000 1.000
  101      .0   -50.0 1.000 1.000
  103      .0   -51.0 1.000 1.000
  105      .0   -52.0 1.000 1.000
  107      .0   -53.0 1.000 1.000
  109      .0   -54.0 1.000 1.000
  111      .0   -55.0 1.000 1.000
  113      .0   -56.0 1.000 1.000
  115      .0   -57.0 1.000 1.000
  117      .0   -58.0 1.000 1.000
  119      .0   -59.0 1.000 1.000
  121      .0   -60.0 1.000 1.000
  123      .0   -61.0 1.000 1.000
  125      .0   -62.0 1.000 1.000
  127      .0   -63.0 1.000 1.000
  129      .0   -64.0 1.000 1.000
  131      .0   -65.0 1.000 1.000
  133      .0   -66.0 1.000 1.000
  135      .0   -67.0 1.000 1.000
  137      .0   -68.0 1.000 1.000
  139      .0   -69.0 1.000 1.000
  141      .0   -70.0 1.000 1.000
  143      .0   -71.0 1.000 1.000
  145      .0   -72.0 1.000 1.000
  147      .0   -73.0 1.000 1.000
  149      .0   -74.0 1.000 1.000
  151      .0   -75.0 1.000 1.000
  153      .0   -76.0 1.000 1.000
  155      .0   -77.0 1.000 1.000
  157      .0   -78.0 1.000 1.000
  159      .0   -79.0 1.000 1.000
  161      .0   -80.0 1.000 1.000
  163      .0   -81.0 1.000 1.000
  165      .0   -82.0 1.000 1.000
  167      .0   -83.0 1.000 1.000
  169      .0   -84.0 1.000 1.000
  171      .0   -85.0 1.000 1.000
  173      .0   -86.0 1.000 1.000
  175      .0   -87.0 1.000 1.000
  177      .0   -88.0 1.000 1.000
  179      .0   -89.0 1.000 1.000
  181      .0   -90.0 1.000 1.000
  183      .0   -91.0 1.000 1.000
  185      .0   -92.0 1.000 1.000
  187      .0   -93.0 1.000 1.000
  189      .0   -94.0 1.000 1.000
  191      .0   -95.0 1.000 1.000
  193      .0   -96.0 1.000 1.000
  195      .0   -97.0 1.000 1.000
  197      .0   -98.0 1.000 1.000
  199      .0   -99.0 1.000 1.000
  201      .0  -100.0 1.000 1.000
  203      .0  -101.0 1.000 1.000
  205      .0  -102.0 1.000 1.000
  207      .0  -103.0 1.000 1.000
  209      .0  -104.0 1.000 1.000
  211      .0  -105.0 1.000 1.000
  213      .0  -106.0 1.000 1.000
  215      .0  -107.0 1.000 1.000
  217      .0  -108.0 1.000 1.000
  219      .0  -109.0 1.000 1.000
  221      .0  -110.0 1.000 1.000
  223      .0  -111.0 1.000 1.000
  225      .0  -112.0 1.000 1.000
  227      .0  -113.0 1.000 1.000
  229      .0  -114.0 1.000 1.000
  231      .0  -115.0 1.000 1.000
  233      .0  -116.0 1.000 1.000
  235      .0  -117.0 1.000 1.000
  237      .0  -118.0 1.000 1.000
  239      .0  -119.0 1.000 1.000
  241      .0  -120.0 1.000 1.000
  243      .0  -121.0 1.000 1.000
  245      .0  -122.0 1.000 1.000
  247      .0  -123.0 1.000 1.000
  249      .0  -124.0 1.000 1.000
  251      .0  -125.0 1.000 1.000
  253      .0  -126.0 1.000 1.000
  255      .0  -127.0 1.000 1.000
  257      .0  -128.0 1.000 1.000
  259      .0  -129.0 1.000 1.000
  261      .0  -130.0 1.000 1.000
  263      .0  -131.0 1.000 1.000
  265      .0  -132.0 1.000 1.000
  267      .0  -133.0 1.000 1.000
  269      .0  -134.0 1.000 1.000
  271      .0  -135.0 1.000 1.000
  273      .0  -136.0 1.000 1.000
  275      .0  -137.0 1.000 1.000
  277      .0  -138.0 1.000 1.000
  279      .0  -139.0 1.000 1.000
  281      .0  -140.0 1.000 1.000
  283      .0  -141.0 1.000 1.000
  285      .0  -142.0 1.000 1.000
  287      .0  -143.0 1.000 1.000
  289      .0  -144.0 1.000 1.000
  291      .0  -145.0 1.000 1.000
  293      .0  -146.0 1.000 1.000
  295      .0  -147.0 1.000 1.000
  297      .0  -148.0 1.000 1.000
  299      .0  -149.0 1.000 1.000
  301      .0  -150.0 1.000 1.000
  303      .0  -151.0 1.000 1.000
  305      .0  -152.0 1.000 1.000
  307      .0  -153.0 1.000 1.000
  309      .0  -154.0 1.000 1.000
  311      .0  -155.0 1.000 1.000
  313      .0  -156.0 1.000 1.000
  315      .0  -157.0 1.000 1.000
  317      .0  -158.0 1.000 1.000
  319      .0  -159.0 1.000 1.000
  321      .0  -160.0 1.000 1.000
  323      .0  -161.0 1.000 1.000
  325      .0  -162.0 1.000 1.000
  327      .0  -163.0 1.000 1.000
  329      .0  -164.0 1.000 1.000
  331      .0  -165.0 1.000 1.000
  333      .0  -166.0 1.000 1.000
  335      .0  -167.0 1.000 1.000
  337      .0  -168.0 1.000 1.000
  339      .0  -169.0 1.000 1.000
  341      .0  -170.0 1.000 1.000
  343      .0  -171.0 1.000 1.000
  345      .0  -172.0 1.000 1.000
  347      .0  -173.0 1.000 1.000
  349      .0  -174.0 1.000 1.000
  351      .0  -175.0 1.000 1.000
  353      .0  -176.0 1.000 1.000
  355      .0  -177.0 1.000 1.000
  357      .0  -178.0 1.000 1.000
  359      .0  -179.0 1.000 1.000
  361      .0  -180.0 1.000 1.000
  363      .0  -181.0 1.000 1.000
  365      .0  -182.0 1.000 1.000
  367      .0  -183.0 1.000 1.000
  369      .0  -184.0 1.000 1.000
  371      .0  -185.0 1.000 1.000
  373      .0  -186.0 1.000 1.000
  375      .0  -187.0 1.000 1.000
  377      .0  -188.0 1.000 1.000
  379      .0  -189.0 1.000 1.000
  381      .0  -190.0 1.000 1.000
  383      .0  -191.0 1.000 1.000
  385      .0  -192.0 1.000 1.000
  387      .0  -193.0 1.000 1.000
  389      .0  -194.0 1.000 1.000
  391      .0  -195.0 1.000 1.000
  393      .0  -196.0 1.000 1.000
  395      .0  -197.0 1.000 1.000
  397      .0  -198.0 1.000 1.000
  399      .0  -199.0 1.000 1.000
  401      .0  -200.0 1.000 1.000


 Time  ***     50.0000 ***

    n    x(n)   z(n)      th(n)     th(n+1) ...

    1      .0      .0 1.000 1.000
    3      .0    -1.0 1.000 1.000
    5      .0    -2.0 1.000 1.000
    7      .0    -3.0 1.000 1.000
    9      .0    -4.0 1.000 1.000
   11      .0    -5.0 1.000 1.000
   13      .0    -6.0 1.000 1.000
   15      .0    -7.0 1.000 1.000
   17      .0    -8.0 1.000 1.000
   19      .0    -9.0 1.000 1.000
   21      .0   -10.0 1.000 1.000
   23      .0   -11.0 1.000 1.000
   25      .0   -12.0 1.000 1.000
   27      .0   -13.0 1.000 1.000
   29      .0   -14.0 1.000 1.000
   31      .0   -15.0 1.000 1.000
   33      .0   -16.0 1.000 1.000
   35      .0   -17.0 1.000 1.000
   37      .0   -18.0 1.000 1.000
   39      .0   -19.0 1.000 1.000
   41      .0   -20.0 1.000 1.000
   43      .0   -21.0 1.000 1.000
   45      .0   -22.0 1.000 1.000
   47      .0   -23.0 1.000 1.000
   49      .0   -24.0 1.000 1.000
   51      .0   -25.0 1.000 1.000
   53      .0   -26.0 1.000 1.000
   55      .0   -27.0 1.000 1.000
   57      .0   -28.0 1.000 1.000
   59      .0   -29.0 1.000 1.000
   61      .0   -30.0 1.000 1.000
   63      .0   -31.0 1.000 1.000
   65      .0   -32.0 1.000 1.000
   67      .0   -33.0 1.000 1.000
   69      .0   -34.0 1.000 1.000
   71      .0   -35.0 1.000 1.000
   73      .0   -36.0 1.000 1.000
   75      .0   -37.0 1.000 1.000
   77      .0   -38.0 1.000 1.000
   79      .0   -39.0 1.000 1.000
   81      .0   -40.0 1.000 1.000
   83      .0   -41.0 1.000 1.000
   85      .0   -42.0 1.000 1.000
   87      .0   -43.0 1.000 1.000
   89      .0   -44.0 1.000 1.000
   91      .0   -45.0 1.000 1.000
   93      .0   -46.0 1.000 1.000
   95      .0   -47.0 1.000 1.000
   97      .0   -48.0 1.000 1.000
   99      .0   -49.0 1.000 1.000
  101      .0   -50.0 1.000 1.000
  103      .0   -51.0 1.000 1.000
  105      .0   -52.0 1.000 1.000
  107      .0   -53.0 1.000 1.000
  109      .0   -54.0 1.000 1.000
  111      .0   -55.0 1.000 1.000
  113      .0   -56.0 1.000 1.000
  115      .0   -57.0 1.000 1.000
  117      .0   -58.0 1.000 1.000
  119      .0   -59.0 1.000 1.000
  121      .0   -60.0 1.000 1.000
