 Example 5 - Solute Transport with Nonlinear Cation Adsorption - Freundlich isot
 erm

 Program CHAIN_2D
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = day  , M = -


 Time  ***       .0000 ***

    n    x(n)   z(n)       h(n)      h(n+1) ...

    1      .0      .0        .0        .0
    3      .0     -.3        .0        .0
    5      .0     -.5        .0        .0
    7      .0     -.8        .0        .0
    9      .0    -1.0        .0        .0
   11      .0    -1.3        .0        .0
   13      .0    -1.5        .0        .0
   15      .0    -1.8        .0        .0
   17      .0    -2.0        .0        .0
   19      .0    -2.3        .0        .0
   21      .0    -2.5        .0        .0
   23      .0    -2.8        .0        .0
   25      .0    -3.0        .0        .0
   27      .0    -3.3        .0        .0
   29      .0    -3.5        .0        .0
   31      .0    -3.8        .0        .0
   33      .0    -4.0        .0        .0
   35      .0    -4.3        .0        .0
   37      .0    -4.5        .0        .0
   39      .0    -4.8        .0        .0
   41      .0    -5.0        .0        .0
   43      .0    -5.3        .0        .0
   45      .0    -5.5        .0        .0
   47      .0    -5.8        .0        .0
   49      .0    -6.0        .0        .0
   51      .0    -6.3        .0        .0
   53      .0    -6.5        .0        .0
   55      .0    -6.8        .0        .0
   57      .0    -7.0        .0        .0
   59      .0    -7.3        .0        .0
   61      .0    -7.5        .0        .0
   63      .0    -7.8        .0        .0
   65      .0    -8.0        .0        .0
   67      .0    -8.3        .0        .0
   69      .0    -8.5        .0        .0
   71      .0    -8.8        .0        .0
   73      .0    -9.0        .0        .0
   75      .0    -9.3        .0        .0
   77      .0    -9.5        .0        .0
   79      .0    -9.8        .0        .0
   81      .0   -10.0        .0        .0
   83      .0   -10.3        .0        .0
   85      .0   -10.5        .0        .0
   87      .0   -10.8        .0        .0


 Time  ***      5.0000 ***

    n    x(n)   z(n)       h(n)      h(n+1) ...

    1      .0      .0        .0        .0
    3      .0     -.3        .0        .0
    5      .0     -.5        .0        .0
    7      .0     -.8        .0        .0
    9      .0    -1.0        .0        .0
   11      .0    -1.3        .0        .0
   13      .0    -1.5        .0        .0
   15      .0    -1.8        .0        .0
   17      .0    -2.0        .0        .0
   19      .0    -2.3        .0        .0
   21      .0    -2.5        .0        .0
   23      .0    -2.8        .0        .0
   25      .0    -3.0        .0        .0
   27      .0    -3.3        .0        .0
   29      .0    -3.5        .0        .0
   31      .0    -3.8        .0        .0
   33      .0    -4.0        .0        .0
   35      .0    -4.3        .0        .0
   37      .0    -4.5        .0        .0
   39      .0    -4.8        .0        .0
   41      .0    -5.0        .0        .0
   43      .0    -5.3        .0        .0
   45      .0    -5.5        .0        .0
   47      .0    -5.8        .0        .0
   49      .0    -6.0        .0        .0
   51      .0    -6.3        .0        .0
   53      .0    -6.5        .0        .0
   55      .0    -6.8        .0        .0
   57      .0    -7.0        .0        .0
   59      .0    -7.3        .0        .0
   61      .0    -7.5        .0        .0
   63      .0    -7.8        .0        .0
   65      .0    -8.0        .0        .0
   67      .0    -8.3        .0        .0
   69      .0    -8.5        .0        .0
   71      .0    -8.8        .0        .0
   73      .0    -9.0        .0        .0
   75      .0    -9.3        .0        .0
   77      .0    -9.5        .0        .0
   79      .0    -9.8        .0        .0
   81      .0   -10.0        .0        .0
   83      .0   -10.3        .0        .0
   85      .0   -10.5        .0        .0
   87      .0   -10.8        .0        .0
