


                               Node( 87)

     time        hNew    theta    Temp       Conc       Sorb    
       .000       .000   .6330     .000   .000E+00   .000E+00
       .002       .000   .6330     .000   .346E-24   .000E+00
       .004       .000   .6330     .000   .175E-22   .000E+00
       .006       .000   .6330     .000   .435E-21   .000E+00
       .008       .000   .6330     .000   .713E-20   .000E+00
       .010       .000   .6330     .000   .868E-19   .000E+00
       .012       .000   .6330     .000   .835E-18   .000E+00
       .014       .000   .6330     .000   .663E-17   .000E+00
       .016       .000   .6330     .000   .447E-16   .000E+00
       .018       .000   .6330     .000   .261E-15   .000E+00
       .021       .000   .6330     .000   .287E-14   .000E+00
       .023       .000   .6330     .000   .220E-13   .000E+00
       .027       .000   .6330     .000   .296E-12   .000E+00
       .030       .000   .6330     .000   .235E-11   .000E+00
       .034       .000   .6330     .000   .285E-10   .000E+00
       .039       .000   .6330     .000   .200E-09   .000E+00
       .044       .000   .6330     .000   .189E-08   .000E+00
       .050       .000   .6330     .000   .109E-07   .000E+00
       .056       .000   .6330     .000   .466E-07   .000E+00
       .063       .000   .6330     .000   .243E-06   .000E+00
       .071       .000   .6330     .000   .920E-06   .000E+00
       .080       .000   .6330     .000   .394E-05   .000E+00
       .090       .000   .6330     .000   .126E-04   .000E+00
       .103       .000   .6330     .000   .432E-04   .000E+00
       .115       .000   .6330     .000   .115E-03   .000E+00
       .128       .000   .6330     .000   .254E-03   .000E+00
       .144       .000   .6330     .000   .593E-03   .000E+00
       .160       .000   .6330     .000   .117E-02   .000E+00
       .182       .000   .6330     .000   .239E-02   .000E+00
       .203       .000   .6330     .000   .423E-02   .000E+00
       .229       .000   .6330     .000   .749E-02   .000E+00
       .256       .000   .6330     .000   .119E-01   .000E+00
       .282       .000   .6330     .000   .174E-01   .000E+00
       .312       .000   .6330     .000   .250E-01   .000E+00
       .344       .000   .6330     .000   .344E-01   .000E+00
       .377       .000   .6330     .000   .459E-01   .000E+00
       .413       .000   .6330     .000   .597E-01   .000E+00
       .450       .000   .6330     .000   .760E-01   .000E+00
       .490       .000   .6330     .000   .949E-01   .000E+00
       .533       .000   .6330     .000   .117E+00   .000E+00
       .578       .000   .6330     .000   .142E+00   .000E+00
       .626       .000   .6330     .000   .171E+00   .000E+00
       .677       .000   .6330     .000   .203E+00   .000E+00
       .731       .000   .6330     .000   .239E+00   .000E+00
       .789       .000   .6330     .000   .280E+00   .000E+00
       .850       .000   .6330     .000   .325E+00   .000E+00
       .915       .000   .6330     .000   .374E+00   .000E+00
       .984       .000   .6330     .000   .429E+00   .000E+00
      1.057       .000   .6330     .000   .489E+00   .000E+00
      1.134       .000   .6330     .000   .555E+00   .000E+00
      1.217       .000   .6330     .000   .627E+00   .000E+00
      1.304       .000   .6330     .000   .704E+00   .000E+00
      1.396       .000   .6330     .000   .788E+00   .000E+00
      1.493       .000   .6330     .000   .879E+00   .000E+00
      1.595       .000   .6330     .000   .975E+00   .000E+00
      1.702       .000   .6330     .000   .108E+01   .000E+00
      1.815       .000   .6330     .000   .119E+01   .000E+00
      1.933       .000   .6330     .000   .130E+01   .000E+00
      2.058       .000   .6330     .000   .143E+01   .000E+00
      2.190       .000   .6330     .000   .155E+01   .000E+00
      2.327       .000   .6330     .000   .169E+01   .000E+00
      2.468       .000   .6330     .000   .183E+01   .000E+00
      2.617       .000   .6330     .000   .198E+01   .000E+00
      2.773       .000   .6330     .000   .213E+01   .000E+00
      2.932       .000   .6330     .000   .228E+01   .000E+00
      3.102       .000   .6330     .000   .245E+01   .000E+00
      3.274       .000   .6330     .000   .261E+01   .000E+00
      3.457       .000   .6330     .000   .278E+01   .000E+00
      3.646       .000   .6330     .000   .296E+01   .000E+00
      3.840       .000   .6330     .000   .313E+01   .000E+00
      4.033       .000   .6330     .000   .331E+01   .000E+00
      4.226       .000   .6330     .000   .347E+01   .000E+00
      4.420       .000   .6330     .000   .364E+01   .000E+00
      4.613       .000   .6330     .000   .380E+01   .000E+00
      4.807       .000   .6330     .000   .396E+01   .000E+00
      5.000       .000   .6330     .000   .412E+01   .000E+00
      5.238       .000   .6330     .000   .430E+01   .000E+00
      5.476       .000   .6330     .000   .449E+01   .000E+00
      5.726       .000   .6330     .000   .467E+01   .000E+00
      5.977       .000   .6330     .000   .485E+01   .000E+00
      6.239       .000   .6330     .000   .503E+01   .000E+00
      6.506       .000   .6330     .000   .521E+01   .000E+00
      6.774       .000   .6330     .000   .538E+01   .000E+00
      7.043       .000   .6330     .000   .555E+01   .000E+00
      7.327       .000   .6330     .000   .572E+01   .000E+00
      7.615       .000   .6330     .000   .589E+01   .000E+00
      7.908       .000   .6330     .000   .605E+01   .000E+00
      8.207       .000   .6330     .000   .621E+01   .000E+00
      8.505       .000   .6330     .000   .636E+01   .000E+00
      8.804       .000   .6330     .000   .651E+01   .000E+00
      9.103       .000   .6330     .000   .665E+01   .000E+00
      9.402       .000   .6330     .000   .679E+01   .000E+00
      9.701       .000   .6330     .000   .692E+01   .000E+00
     10.000       .000   .6330     .000   .704E+01   .000E+00
     10.327       .000   .6330     .000   .717E+01   .000E+00
     10.658       .000   .6330     .000   .730E+01   .000E+00
     10.992       .000   .6330     .000   .742E+01   .000E+00
     11.326       .000   .6330     .000   .753E+01   .000E+00
     11.660       .000   .6330     .000   .765E+01   .000E+00
     11.994       .000   .6330     .000   .775E+01   .000E+00
     12.328       .000   .6330     .000   .785E+01   .000E+00
     12.662       .000   .6330     .000   .795E+01   .000E+00
     12.996       .000   .6330     .000   .804E+01   .000E+00
     13.330       .000   .6330     .000   .813E+01   .000E+00
     13.664       .000   .6330     .000   .821E+01   .000E+00
     13.998       .000   .6330     .000   .829E+01   .000E+00
     14.332       .000   .6330     .000   .837E+01   .000E+00
     14.666       .000   .6330     .000   .844E+01   .000E+00
     15.000       .000   .6330     .000   .851E+01   .000E+00
     15.357       .000   .6330     .000   .858E+01   .000E+00
