 Example 5 - Solute Transport with Nonlinear Cation Adsorption - Freundlich isot
 erm

 Program CHAIN_2D
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = day  , M = -


 Time  ***       .0000 ***

    n    x(n)   z(n)      th(n)     th(n+1) ...

    1      .0      .0  .633  .633
    3      .0     -.3  .633  .633
    5      .0     -.5  .633  .633
    7      .0     -.8  .633  .633
    9      .0    -1.0  .633  .633
   11      .0    -1.3  .633  .633
   13      .0    -1.5  .633  .633
   15      .0    -1.8  .633  .633
   17      .0    -2.0  .633  .633
   19      .0    -2.3  .633  .633
   21      .0    -2.5  .633  .633
   23      .0    -2.8  .633  .633
   25      .0    -3.0  .633  .633
   27      .0    -3.3  .633  .633
   29      .0    -3.5  .633  .633
   31      .0    -3.8  .633  .633
   33      .0    -4.0  .633  .633
   35      .0    -4.3  .633  .633
   37      .0    -4.5  .633  .633
   39      .0    -4.8  .633  .633
   41      .0    -5.0  .633  .633
   43      .0    -5.3  .633  .633
   45      .0    -5.5  .633  .633
   47      .0    -5.8  .633  .633
   49      .0    -6.0  .633  .633
   51      .0    -6.3  .633  .633
   53      .0    -6.5  .633  .633
   55      .0    -6.8  .633  .633
   57      .0    -7.0  .633  .633
   59      .0    -7.3  .633  .633
   61      .0    -7.5  .633  .633
   63      .0    -7.8  .633  .633
   65      .0    -8.0  .633  .633
   67      .0    -8.3  .633  .633
   69      .0    -8.5  .633  .633
   71      .0    -8.8  .633  .633
   73      .0    -9.0  .633  .633
   75      .0    -9.3  .633  .633
   77      .0    -9.5  .633  .633
   79      .0    -9.8  .633  .633
   81      .0   -10.0  .633  .633
   83      .0   -10.3  .633  .633
   85      .0   -10.5  .633  .633
   87      .0   -10.8  .633  .633


 Time  ***      5.0000 ***

    n    x(n)   z(n)      th(n)     th(n+1) ...

    1      .0      .0  .633  .633
    3      .0     -.3  .633  .633
    5      .0     -.5  .633  .633
    7      .0     -.8  .633  .633
    9      .0    -1.0  .633  .633
   11      .0    -1.3  .633  .633
   13      .0    -1.5  .633  .633
   15      .0    -1.8  .633  .633
   17      .0    -2.0  .633  .633
   19      .0    -2.3  .633  .633
   21      .0    -2.5  .633  .633
   23      .0    -2.8  .633  .633
   25      .0    -3.0  .633  .633
   27      .0    -3.3  .633  .633
   29      .0    -3.5  .633  .633
   31      .0    -3.8  .633  .633
   33      .0    -4.0  .633  .633
   35      .0    -4.3  .633  .633
   37      .0    -4.5  .633  .633
   39      .0    -4.8  .633  .633
   41      .0    -5.0  .633  .633
   43      .0    -5.3  .633  .633
   45      .0    -5.5  .633  .633
   47      .0    -5.8  .633  .633
   49      .0    -6.0  .633  .633
   51      .0    -6.3  .633  .633
   53      .0    -6.5  .633  .633
   55      .0    -6.8  .633  .633
   57      .0    -7.0  .633  .633
   59      .0    -7.3  .633  .633
   61      .0    -7.5  .633  .633
   63      .0    -7.8  .633  .633
   65      .0    -8.0  .633  .633
   67      .0    -8.3  .633  .633
   69      .0    -8.5  .633  .633
   71      .0    -8.8  .633  .633
   73      .0    -9.0  .633  .633
   75      .0    -9.3  .633  .633
   77      .0    -9.5  .633  .633
   79      .0    -9.8  .633  .633
   81      .0   -10.0  .633  .633
   83      .0   -10.3  .633  .633
   85      .0   -10.5  .633  .633
   87      .0   -10.8  .633  .633
