 Example 6 - Solute Transport with Kinetic Linear Cation Adsorption             
                      
 
 Program CHAIN_2D
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = day  , M = -    


 Time  ***       .0000 ***

    n    x(n)   z(n)       h(n)      h(n+1) ...

    1      .0      .0        .0        .0
    3      .0    -2.0        .0        .0
    5      .0    -4.0        .0        .0
    7      .0    -6.0        .0        .0
    9      .0    -8.0        .0        .0
   11      .0   -10.0        .0        .0
   13      .0   -12.0        .0        .0
   15      .0   -14.0        .0        .0
   17      .0   -16.0        .0        .0
   19      .0   -18.0        .0        .0
   21      .0   -20.0        .0        .0
   23      .0   -22.0        .0        .0
   25      .0   -24.0        .0        .0
   27      .0   -26.0        .0        .0
   29      .0   -28.0        .0        .0
   31      .0   -30.0        .0        .0


 Time  ***       .5000 ***

    n    x(n)   z(n)       h(n)      h(n+1) ...

    1      .0      .0        .0        .0
    3      .0    -2.0        .0        .0
    5      .0    -4.0        .0        .0
    7      .0    -6.0        .0        .0
    9      .0    -8.0        .0        .0
   11      .0   -10.0        .0        .0
   13      .0   -12.0        .0        .0
   15      .0   -14.0        .0        .0
   17      .0   -16.0        .0        .0
   19      .0   -18.0        .0        .0
   21      .0   -20.0        .0        .0
   23      .0   -22.0        .0        .0
   25      .0   -24.0        .0        .0
   27      .0   -26.0        .0        .0
   29      .0   -28.0        .0        .0
   31      .0   -30.0        .0        .0
