


                               Node( 31)

     time        hNew    theta    Temp       Conc       Sorb
       .000       .000   .4450     .000   .000E+00   .000E+00
       .010       .000   .4450     .000   .755E-21   .728E-24
       .023       .000   .4450     .000   .313E-18   .391E-21
       .040       .000   .4450     .000   .784E-16   .130E-18
       .062       .000   .4450     .000   .980E-14   .210E-16
       .091       .000   .4450     .000   .109E-11   .312E-14
       .128       .000   .4450     .000   .677E-10   .249E-12
       .175       .000   .4450     .000   .271E-08   .126E-10
       .240       .000   .4450     .000   .142E-06   .911E-09
       .327       .000   .4450     .000   .513E-05   .445E-07
       .413       .000   .4450     .000   .537E-04   .530E-06
       .500       .000   .4450     .000   .343E-03   .380E-05
       .625       .000   .4450     .000   .317E-02   .453E-04
       .750       .000   .4450     .000   .170E-01   .282E-03
       .875       .000   .4450     .000   .648E-01   .124E-02
       .937       .000   .4450     .000   .116E+00   .230E-02
      1.000       .000   .4450     .000   .195E+00   .411E-02
      1.125       .000   .4450     .000   .471E+00   .118E-01
      1.250       .000   .4450     .000   .979E+00   .285E-01
      1.375       .000   .4450     .000   .178E+01   .600E-01
      1.500       .000   .4450     .000   .287E+01   .113E+00
      1.625       .000   .4450     .000   .422E+01   .192E+00
      1.750       .000   .4450     .000   .573E+01   .303E+00
      1.874       .000   .4450     .000   .727E+01   .445E+00
      1.999       .000   .4450     .000   .875E+01   .617E+00
      2.124       .000   .4450     .000   .101E+02   .816E+00
      2.249       .000   .4450     .000   .112E+02   .104E+01
      2.374       .000   .4450     .000   .121E+02   .127E+01
      2.437       .000   .4450     .000   .125E+02   .139E+01
      2.500       .000   .4450     .000   .129E+02   .152E+01
      2.625       .000   .4450     .000   .135E+02   .177E+01
      2.750       .000   .4450     .000   .139E+02   .203E+01
      2.875       .000   .4450     .000   .143E+02   .228E+01
      3.000       .000   .4450     .000   .146E+02   .253E+01
      3.125       .000   .4450     .000   .148E+02   .278E+01
      3.250       .000   .4450     .000   .150E+02   .302E+01
      3.374       .000   .4450     .000   .152E+02   .326E+01
      3.499       .000   .4450     .000   .154E+02   .350E+01
      3.624       .000   .4450     .000   .155E+02   .373E+01
      3.749       .000   .4450     .000   .157E+02   .395E+01
      3.874       .000   .4450     .000   .158E+02   .417E+01
      3.999       .000   .4450     .000   .159E+02   .438E+01
      4.124       .000   .4450     .000   .161E+02   .459E+01
      4.249       .000   .4450     .000   .162E+02   .479E+01
      4.374       .000   .4450     .000   .163E+02   .499E+01
      4.499       .000   .4450     .000   .164E+02   .518E+01
      4.624       .000   .4450     .000   .165E+02   .537E+01
      4.749       .000   .4450     .000   .167E+02   .555E+01
      4.874       .000   .4450     .000   .168E+02   .573E+01
      4.937       .000   .4450     .000   .168E+02   .582E+01
      5.000       .000   .4450     .000   .169E+02   .590E+01
      5.125       .000   .4450     .000   .170E+02   .607E+01
      5.250       .000   .4450     .000   .171E+02   .624E+01
      5.375       .000   .4450     .000   .172E+02   .640E+01
      5.500       .000   .4450     .000   .172E+02   .656E+01
      5.625       .000   .4450     .000   .173E+02   .671E+01
      5.750       .000   .4450     .000   .174E+02   .686E+01
      5.874       .000   .4450     .000   .174E+02   .700E+01
      5.999       .000   .4450     .000   .174E+02   .714E+01
      6.124       .000   .4450     .000   .172E+02   .727E+01
      6.249       .000   .4450     .000   .168E+02   .738E+01
      6.374       .000   .4450     .000   .161E+02   .748E+01
      6.499       .000   .4450     .000   .150E+02   .756E+01
      6.624       .000   .4450     .000   .138E+02   .760E+01
      6.749       .000   .4450     .000   .123E+02   .761E+01
      6.874       .000   .4450     .000   .108E+02   .759E+01
      6.937       .000   .4450     .000   .101E+02   .756E+01
      7.000       .000   .4450     .000   .937E+01   .753E+01
      7.125       .000   .4450     .000   .810E+01   .744E+01
      7.250       .000   .4450     .000   .703E+01   .733E+01
      7.375       .000   .4450     .000   .615E+01   .720E+01
      7.500       .000   .4450     .000   .547E+01   .705E+01
      7.625       .000   .4450     .000   .494E+01   .690E+01
      7.750       .000   .4450     .000   .454E+01   .674E+01
      7.874       .000   .4450     .000   .423E+01   .658E+01
      7.999       .000   .4450     .000   .398E+01   .642E+01
      8.124       .000   .4450     .000   .379E+01   .626E+01
      8.249       .000   .4450     .000   .362E+01   .610E+01
      8.374       .000   .4450     .000   .348E+01   .595E+01
      8.499       .000   .4450     .000   .336E+01   .580E+01
      8.624       .000   .4450     .000   .324E+01   .565E+01
      8.749       .000   .4450     .000   .314E+01   .550E+01
      8.874       .000   .4450     .000   .304E+01   .536E+01
      8.999       .000   .4450     .000   .294E+01   .522E+01
      9.124       .000   .4450     .000   .285E+01   .508E+01
      9.249       .000   .4450     .000   .276E+01   .495E+01
      9.374       .000   .4450     .000   .267E+01   .482E+01
      9.499       .000   .4450     .000   .259E+01   .469E+01
      9.623       .000   .4450     .000   .251E+01   .457E+01
      9.748       .000   .4450     .000   .243E+01   .445E+01
      9.873       .000   .4450     .000   .235E+01   .433E+01
      9.937       .000   .4450     .000   .231E+01   .427E+01
     10.000       .000   .4450     .000   .228E+01   .422E+01
     10.125       .000   .4450     .000   .220E+01   .410E+01
     10.250       .000   .4450     .000   .214E+01   .399E+01
     10.375       .000   .4450     .000   .207E+01   .389E+01
     10.500       .000   .4450     .000   .200E+01   .378E+01
     10.625       .000   .4450     .000   .194E+01   .368E+01
     10.750       .000   .4450     .000   .188E+01   .358E+01
     10.874       .000   .4450     .000   .182E+01   .349E+01
     10.999       .000   .4450     .000   .176E+01   .339E+01
     11.124       .000   .4450     .000   .171E+01   .330E+01
     11.249       .000   .4450     .000   .165E+01   .321E+01
     11.374       .000   .4450     .000   .160E+01   .312E+01
     11.499       .000   .4450     .000   .155E+01   .304E+01
     11.624       .000   .4450     .000   .150E+01   .295E+01
     11.749       .000   .4450     .000   .145E+01   .287E+01
     11.874       .000   .4450     .000   .141E+01   .280E+01
     11.999       .000   .4450     .000   .136E+01   .272E+01
     12.124       .000   .4450     .000   .132E+01   .264E+01
     12.249       .000   .4450     .000   .128E+01   .257E+01
     12.374       .000   .4450     .000   .124E+01   .250E+01
     12.499       .000   .4450     .000   .120E+01   .243E+01
     12.623       .000   .4450     .000   .116E+01   .236E+01
     12.748       .000   .4450     .000   .112E+01   .230E+01
     12.873       .000   .4450     .000   .109E+01   .223E+01
