

     *******************************************************************
     *                                                                 *
     *                             N3DADE                              *
     *                                                                 *
     *    ANALYTICAL SOLUTIONS FOR NONEQUILIBRIUM SOLUTE TRANSPORT     *
     *                IN 3-D SEMI-INFINITE POROUS MEDIA                *
     *                                                                 *
     *     VOLUME-AVERAGED CONCENTRATIONS                              *
     *     Fig. 11: Exponential distribution about (5,0,0)             *
     *                                                                 *
     *******************************************************************


     MODEL PARAMETERS
     ================

     NAME            VALUE

     dimensional
     V                5.00
     R                1.00
     Dx              10.00
     Dy               5.00
     Dz               5.00

     dimensionless
     BETA              .50
     OMEGA            1.00
     MU1               .00
     MU2               .00


     CONSTANTS
     =========
     L  =   20.00
     Co =    1.00


     INITIAL VALUE PROBLEM    35
     =====================

     EXPONENTIAL INITIAL DISTRIBUTION FOR SPHERICAL GEOMETRY    x0=      5.00
       fe=      1.00    alpha=      2.00


     INDEPENDENT VARIABLES
     =====================
     VARIABLE   INCREMENT        MINIMUM        MAXIMUM
     t               .000          1.000          1.000
     x              1.000           .000         40.000
     y              1.000           .000         40.000
     z               .000           .000           .000


PREDICTED CONCENTRATIONS
========================

      EQUILIBRIUM   NONEQUILIBRIUM     TOTAL
 NO    C     C/Co     C     C/Co     Ct    Ct/Co     t       x       y       z
  1    .043   .043    .406   .406    .224   .224    1.00     .00     .00     .00
  2    .042   .042    .402   .402    .222   .222    1.00     .00    1.00     .00
  3    .041   .041    .391   .391    .216   .216    1.00     .00    2.00     .00
  4    .040   .040    .374   .374    .207   .207    1.00     .00    3.00     .00
  5    .038   .038    .354   .354    .196   .196    1.00     .00    4.00     .00
  6    .036   .036    .331   .331    .183   .183    1.00     .00    5.00     .00
  7    .034   .034    .307   .307    .170   .170    1.00     .00    6.00     .00
  8    .031   .031    .284   .284    .158   .158    1.00     .00    7.00     .00
  9    .029   .029    .261   .261    .145   .145    1.00     .00    8.00     .00
 10    .027   .027    .240   .240    .133   .133    1.00     .00    9.00     .00
 11    .024   .024    .219   .219    .122   .122    1.00     .00   10.00     .00
 12    .022   .022    .200   .200    .111   .111    1.00     .00   11.00     .00
 13    .020   .020    .183   .183    .102   .102    1.00     .00   12.00     .00
 14    .019   .019    .167   .167    .093   .093    1.00     .00   13.00     .00
 15    .017   .017    .152   .152    .084   .084    1.00     .00   14.00     .00
 16    .016   .016    .138   .138    .077   .077    1.00     .00   15.00     .00
 17    .014   .014    .125   .125    .070   .070    1.00     .00   16.00     .00
 18    .013   .013    .114   .114    .063   .063    1.00     .00   17.00     .00
 19    .012   .012    .104   .104    .058   .058    1.00     .00   18.00     .00
 20    .011   .011    .094   .094    .052   .052    1.00     .00   19.00     .00
