

     *******************************************************************
     *                                                                 *
     *                             N3DADE                              *
     *                                                                 *
     *    ANALYTICAL SOLUTIONS FOR NONEQUILIBRIUM SOLUTE TRANSPORT     *
     *                IN 3-D SEMI-INFINITE POROUS MEDIA                *
     *                                                                 *
     *     FLUX-AVERAGED CONCENTRATIONS                                *
     *     Fig. 6: Instantaneous application from disc (cm,d)          *
     *                                                                 *
     *******************************************************************


     MODEL PARAMETERS
     ================

     NAME            VALUE

     dimensional
     V               20.00
     R                5.00
     Dx              10.00
     Dy               2.50
     Dz               2.50

     dimensionless
     BETA              .50
     OMEGA             .10
     MU1               .00
     MU2               .00


     CONSTANTS
     =========
     L  =   50.00
     Co =    1.00


     BOUNDARY VALUE PROBLEM    28
     ======================
     DIRAC INPUT FUNCTION
       t0=       .00        m=     20.00

     HEAVISIDE DISTRIBUTION FOR CIRCULAR GEOMETRY
         i       rin      rend
         1       .00      2.50


     INDEPENDENT VARIABLES
     =====================
     VARIABLE   INCREMENT        MINIMUM        MAXIMUM
     t               .250           .000         20.000
     x               .000         50.000         50.000
     y               .000           .000           .000
     z               .000           .000           .000


PREDICTED CONCENTRATIONS
========================

      EQUILIBRIUM   NONEQUILIBRIUM     TOTAL
 NO    C     C/Co     C     C/Co     Ct    Ct/Co     t       x       y       z
  1    .000   .000    .000   .000    .000   .000     .00   50.00     .00     .00
  2    .000   .000    .000   .000    .000   .000     .25   50.00     .00     .00
  3    .000   .000    .000   .000    .000   .000     .50   50.00     .00     .00
  4    .000   .000    .000   .000    .000   .000     .75   50.00     .00     .00
  5    .000   .000    .000   .000    .000   .000    1.00   50.00     .00     .00
  6    .000   .000    .000   .000    .000   .000    1.25   50.00     .00     .00
  7    .000   .000    .000   .000    .000   .000    1.50   50.00     .00     .00
  8    .000   .000    .000   .000    .000   .000    1.75   50.00     .00     .00
  9    .000   .000    .000   .000    .000   .000    2.00   50.00     .00     .00
 10    .000   .000    .000   .000    .000   .000    2.25   50.00     .00     .00
 11    .000   .000    .000   .000    .000   .000    2.50   50.00     .00     .00
 12    .000   .000    .000   .000    .000   .000    2.75   50.00     .00     .00
 13    .000   .000    .000   .000    .000   .000    3.00   50.00     .00     .00
 14    .000   .000    .000   .000    .001   .001    3.25   50.00     .00     .00
 15    .003   .003    .000   .000    .008   .008    3.50   50.00     .00     .00
 16    .020   .020    .000   .000    .050   .050    3.75   50.00     .00     .00
 17    .085   .085    .000   .000    .212   .212    4.00   50.00     .00     .00
 18    .268   .268    .001   .001    .672   .672    4.25   50.00     .00     .00
