

     *******************************************************************
     *                                                                 *
     *                             N3DADE                              *
     *                                                                 *
     *    ANALYTICAL SOLUTIONS FOR NONEQUILIBRIUM SOLUTE TRANSPORT     *
     *                IN 3-D SEMI-INFINITE POROUS MEDIA                *
     *                                                                 *
     *     VOLUME-AVERAGED CONCENTRATIONS                              *
     *     Fig. 8: Heaviside application finite rectangle              *
     *                                                                 *
     *******************************************************************


     MODEL PARAMETERS
     ================

     NAME            VALUE

     dimensional
     V               20.00
     R                4.00
     Dx              20.00
     Dy              10.00
     Dz               5.00

     dimensionless
     BETA              .50
     OMEGA             .25
     MU1               .00
     MU2               .00


     CONSTANTS
     =========
     L  =   20.00
     Co =    1.00


     BOUNDARY VALUE PROBLEM    14
     ======================
     HEAVISIDE INPUT FUNCTION
         i         g       tin      tend
         1      1.00       .00     20.00

     HEAVISIDE DISTRIBUTION FOR Y-DIRECTION
         i       yin      yend
         1     -2.50      2.50

     HEAVISIDE DISTRIBUTION FOR Z-DIRECTION
         i       zin      zend
         1     -2.50      2.50


     INDEPENDENT VARIABLES
     =====================
     VARIABLE   INCREMENT        MINIMUM        MAXIMUM
     t              5.000          5.000         15.000
     x              1.000           .000         20.000
     y               .000           .000           .000
     z               .000           .000           .000


PREDICTED CONCENTRATIONS
========================

      EQUILIBRIUM   NONEQUILIBRIUM     TOTAL
 NO    C     C/Co     C     C/Co     Ct    Ct/Co     t       x       y       z
  1    .948   .948    .435   .435   2.764  2.764    5.00     .00     .00     .00
  2    .892   .892    .403   .403   2.589  2.589    5.00    1.00     .00     .00
  3    .820   .820    .366   .366   2.372  2.372    5.00    2.00     .00     .00
  4    .747   .747    .328   .328   2.151  2.151    5.00    3.00     .00     .00
  5    .678   .678    .293   .293   1.943  1.943    5.00    4.00     .00     .00
  6    .615   .615    .262   .262   1.754  1.754    5.00    5.00     .00     .00
  7    .559   .559    .234   .234   1.587  1.587    5.00    6.00     .00     .00
  8    .510   .510    .210   .210   1.441  1.441    5.00    7.00     .00     .00
  9    .468   .468    .189   .189   1.313  1.313    5.00    8.00     .00     .00
 10    .430   .430    .171   .171   1.202  1.202    5.00    9.00     .00     .00
 11    .397   .397    .154   .154   1.103  1.103    5.00   10.00     .00     .00
 12    .368   .368    .140   .140   1.017  1.017    5.00   11.00     .00     .00
 13    .342   .342    .128   .128    .940   .940    5.00   12.00     .00     .00
 14    .319   .319    .117   .117    .872   .872    5.00   13.00     .00     .00
 15    .299   .299    .107   .107    .811   .811    5.00   14.00     .00     .00
 16    .280   .280    .098   .098    .756   .756    5.00   15.00     .00     .00
 17    .263   .263    .090   .090    .706   .706    5.00   16.00     .00     .00
 18    .248   .248    .083   .083    .661   .661    5.00   17.00     .00     .00
 19    .234   .234    .076   .076    .621   .621    5.00   18.00     .00     .00
 20    .221   .221    .070   .070    .583   .583    5.00   19.00     .00     .00
 21    .210   .210    .065   .065    .549   .549    5.00   20.00     .00     .00
 22    .948   .948    .672   .672   3.241  3.241   10.00     .00     .00     .00
 23    .901   .901    .635   .635   3.072  3.072   10.00    1.00     .00     .00
 24    .826   .826    .578   .578   2.808  2.808   10.00    2.00     .00     .00
 25    .756   .756    .525   .525   2.562  2.562   10.00    3.00     .00     .00
 26    .688   .688    .475   .475   2.324  2.324   10.00    4.00     .00     .00
 27    .626   .626    .429   .429   2.109  2.109   10.00    5.00     .00     .00
 28    .571   .571    .388   .388   1.918  1.918   10.00    6.00     .00     .00
 29    .522   .522    .353   .353   1.751  1.751   10.00    7.00     .00     .00
 30    .480   .480    .322   .322   1.604  1.604   10.00    8.00     .00     .00
 31    .443   .443    .295   .295   1.477  1.477   10.00    9.00     .00     .00
 32    .411   .411    .271   .271   1.364  1.364   10.00   10.00     .00     .00
 33    .382   .382    .250   .250   1.264  1.264   10.00   11.00     .00     .00
 34    .357   .357    .231   .231   1.176  1.176   10.00   12.00     .00     .00
 35    .334   .334    .215   .215   1.098  1.098   10.00   13.00     .00     .00
 36    .314   .314    .200   .200   1.027  1.027   10.00   14.00     .00     .00
 37    .295   .295    .187   .187    .964   .964   10.00   15.00     .00     .00
 38    .279   .279    .175   .175    .907   .907   10.00   16.00     .00     .00
 39    .264   .264    .164   .164    .855   .855   10.00   17.00     .00     .00
 40    .250   .250    .154   .154    .808   .808   10.00   18.00     .00     .00
 41    .237   .237    .145   .145    .765   .765   10.00   19.00     .00     .00
 42    .226   .226    .137   .137    .725   .725   10.00   20.00     .00     .00
 43    .947   .947    .799   .799   3.493  3.493   15.00     .00     .00     .00
