 Example 2 - Grass Field Problem (Hupselse Beek 1982)                    
 
 Program SWMS_2D
 Time dependent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = day  , M = -    
 All cumulative fluxes (CumQ) are positive out of the region

     Time     CumQAP      CumQRP     CumQA      CumQR     CumQ3       CumQ1      CumQS      CumQ5       CumQ6 ....
      [T]       [V]         [V]       [V]        [V]       [V]         [V]        [V]        [V]         [V]

     90.0200   .000E+00   .320E-02   .000E+00   .320E-02   .775E-03   .000E+00   .000E+00   .000E+00   .000E+00
     90.0458   .000E+00   .733E-02   .000E+00   .733E-02   .177E-02   .000E+00   .000E+00   .000E+00   .000E+00
     90.0799   .000E+00   .128E-01   .000E+00   .128E-01   .309E-02   .000E+00   .000E+00   .000E+00   .000E+00
     90.1237   .000E+00   .198E-01   .000E+00   .198E-01   .477E-02   .000E+00   .000E+00   .000E+00   .000E+00
     90.1821   .000E+00   .291E-01   .000E+00   .291E-01   .701E-02   .000E+00   .000E+00   .000E+00   .000E+00
     90.2565   .000E+00   .410E-01   .000E+00   .410E-01   .984E-02   .000E+00   .000E+00   .000E+00   .000E+00
     90.3494   .000E+00   .559E-01   .000E+00   .559E-01   .134E-01   .000E+00   .000E+00   .000E+00   .000E+00
     90.4795   .000E+00   .767E-01   .000E+00   .767E-01   .183E-01   .000E+00   .000E+00   .000E+00   .000E+00
     90.6530   .000E+00   .104E+00   .000E+00   .104E+00   .247E-01   .000E+00   .000E+00   .000E+00   .000E+00
     90.8265   .000E+00   .132E+00   .000E+00   .132E+00   .311E-01   .000E+00   .000E+00   .000E+00   .000E+00
     91.0000   .000E+00   .160E+00   .000E+00   .160E+00   .373E-01   .000E+00   .000E+00   .000E+00   .000E+00
     91.0200  -.140E-02   .164E+00  -.140E-02   .164E+00   .381E-01   .000E+00   .000E+00   .000E+00   .000E+00
     91.0458  -.321E-02   .168E+00  -.321E-02   .168E+00   .390E-01   .000E+00   .000E+00   .000E+00   .000E+00
     91.0799  -.559E-02   .174E+00  -.559E-02   .174E+00   .402E-01   .000E+00   .000E+00   .000E+00   .000E+00
     91.1237  -.866E-02   .182E+00  -.866E-02   .182E+00   .417E-01   .000E+00   .000E+00   .000E+00   .000E+00
     91.1821  -.127E-01   .193E+00  -.127E-01   .193E+00   .438E-01   .000E+00   .000E+00   .000E+00   .000E+00
     91.2565  -.180E-01   .206E+00  -.180E-01   .206E+00   .464E-01   .000E+00   .000E+00   .000E+00   .000E+00
     91.3494  -.245E-01   .223E+00  -.245E-01   .223E+00   .497E-01   .000E+00   .000E+00   .000E+00   .000E+00
     91.4795  -.336E-01   .246E+00  -.336E-01   .246E+00   .542E-01   .000E+00   .000E+00   .000E+00   .000E+00
     91.6530  -.457E-01   .278E+00  -.457E-01   .278E+00   .602E-01   .000E+00   .000E+00   .000E+00   .000E+00
     91.8265  -.579E-01   .309E+00  -.579E-01   .309E+00   .661E-01   .000E+00   .000E+00   .000E+00   .000E+00
