 Example 2 - Grass Field Problem (Hupselse Beek 1982)

 Program SWMS_2D
 Time dependent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = day  , M = -


 Time  ***     90.0000 ***

    n    x(n)   z(n)       h(n)      h(n+1) ...

    1      .0   230.0     -55.0     -55.0
    3      .0   229.0     -54.0     -54.0
    5      .0   228.0     -53.0     -53.0
    7      .0   226.0     -51.0     -51.0
    9      .0   224.0     -49.0     -49.0
   11      .0   220.0     -45.0     -45.0
   13      .0   215.0     -40.0     -40.0
   15      .0   210.0     -35.0     -35.0
   17      .0   205.0     -30.0     -30.0
   19      .0   200.0     -25.0     -25.0
   21      .0   190.0     -15.0     -15.0
   23      .0   180.0      -5.0      -5.0
   25      .0   170.0       5.0       5.0
   27      .0   160.0      15.0      15.0
   29      .0   150.0      25.0      25.0
   31      .0   140.0      35.0      35.0
   33      .0   130.0      45.0      45.0
   35      .0   120.0      55.0      55.0
   37      .0   110.0      65.0      65.0
   39      .0   100.0      75.0      75.0
   41      .0    90.0      85.0      85.0
   43      .0    80.0      95.0      95.0
   45      .0    70.0     105.0     105.0
   47      .0    60.0     115.0     115.0
   49      .0    50.0     125.0     125.0
   51      .0    40.0     135.0     135.0
   53      .0    30.0     145.0     145.0
   55      .0    20.0     155.0     155.0
   57      .0    10.0     165.0     165.0
   59      .0     5.0     170.0     170.0
   61      .0     2.0     173.0     173.0
   63      .0     1.0     174.0     174.0
   65      .0      .0     175.0     175.0


 Time  ***    120.0000 ***

    n    x(n)   z(n)       h(n)      h(n+1) ...

    1      .0   230.0     -84.2     -84.2
    3      .0   229.0     -83.9     -83.9
    5      .0   228.0     -83.5     -83.5
    7      .0   226.0     -82.7     -82.7
    9      .0   224.0     -81.8     -81.8
   11      .0   220.0     -79.9     -79.9
   13      .0   215.0     -76.9     -76.9
   15      .0   210.0     -73.6     -73.6
   17      .0   205.0     -69.8     -69.8
   19      .0   200.0     -65.7     -65.7
   21      .0   190.0     -56.7     -56.7
   23      .0   180.0     -46.9     -46.9
   25      .0   170.0     -36.9     -36.9
   27      .0   160.0     -27.0     -27.0
   29      .0   150.0     -17.0     -17.0
   31      .0   140.0      -7.0      -7.0
   33      .0   130.0       3.0       3.0
   35      .0   120.0      13.0      13.0
   37      .0   110.0      23.0      23.0
   39      .0   100.0      33.0      33.0
   41      .0    90.0      43.0      43.0
   43      .0    80.0      53.0      53.0
   45      .0    70.0      63.0      63.0
   47      .0    60.0      73.0      73.0
   49      .0    50.0      83.0      83.0
   51      .0    40.0      93.0      93.0
   53      .0    30.0     103.0     103.0
   55      .0    20.0     113.0     113.0
   57      .0    10.0     123.0     123.0
   59      .0     5.0     127.9     127.9
   61      .0     2.0     130.9     130.9
   63      .0     1.0     131.9     131.9
   65      .0      .0     132.9     132.9


 Time  ***    151.0000 ***

    n    x(n)   z(n)       h(n)      h(n+1) ...

    1      .0   230.0    -147.0    -147.0
    3      .0   229.0    -146.0    -146.0
    5      .0   228.0    -145.1    -145.1
    7      .0   226.0    -143.0    -143.0
    9      .0   224.0    -140.6    -140.6
   11      .0   220.0    -135.3    -135.3
   13      .0   215.0    -127.5    -127.5
   15      .0   210.0    -118.8    -118.8
   17      .0   205.0    -109.6    -109.6
   19      .0   200.0    -100.3    -100.3
   21      .0   190.0     -82.7     -82.7
   23      .0   180.0     -70.9     -70.9
   25      .0   170.0     -60.1     -60.1
   27      .0   160.0     -49.7     -49.7
   29      .0   150.0     -39.4     -39.4
   31      .0   140.0     -29.3     -29.3
   33      .0   130.0     -19.3     -19.3
   35      .0   120.0      -9.3      -9.3
   37      .0   110.0        .7        .7
   39      .0   100.0      10.7      10.7
   41      .0    90.0      20.7      20.7
   43      .0    80.0      30.7      30.7
   45      .0    70.0      40.7      40.7
   47      .0    60.0      50.7      50.7
   49      .0    50.0      60.7      60.7
   51      .0    40.0      70.7      70.7
   53      .0    30.0      80.7      80.7
   55      .0    20.0      90.7      90.7
   57      .0    10.0     100.7     100.7
   59      .0     5.0     105.7     105.7
   61      .0     2.0     108.7     108.7
   63      .0     1.0     109.7     109.7
   65      .0      .0     110.7     110.7


 Time  ***    181.0000 ***

    n    x(n)   z(n)       h(n)      h(n+1) ...

    1      .0   230.0    -110.0    -110.0
    3      .0   229.0    -109.1    -109.1
    5      .0   228.0    -108.2    -108.2
    7      .0   226.0    -106.6    -106.6
    9      .0   224.0    -105.0    -105.0
   11      .0   220.0    -102.0    -102.0
   13      .0   215.0     -98.5     -98.5
   15      .0   210.0     -95.3     -95.3
   17      .0   205.0     -92.1     -92.1
   19      .0   200.0     -88.8     -88.8
   21      .0   190.0     -81.8     -81.8
   23      .0   180.0     -72.7     -72.7
   25      .0   170.0     -63.2     -63.2
   27      .0   160.0     -53.5     -53.5
   29      .0   150.0     -43.7     -43.7
   31      .0   140.0     -33.9     -33.9
   33      .0   130.0     -23.9     -23.9
   35      .0   120.0     -13.9     -13.9
   37      .0   110.0      -3.9      -3.9
   39      .0   100.0       6.1       6.1
   41      .0    90.0      16.1      16.1
   43      .0    80.0      26.1      26.1
   45      .0    70.0      36.1      36.1
   47      .0    60.0      46.1      46.1
   49      .0    50.0      56.0      56.0
   51      .0    40.0      66.0      66.0
   53      .0    30.0      76.0      76.0
   55      .0    20.0      86.0      86.0
   57      .0    10.0      96.0      96.0
   59      .0     5.0     101.0     101.0
   61      .0     2.0     104.0     104.0
   63      .0     1.0     105.0     105.0
   65      .0      .0     106.0     106.0


 Time  ***    212.0000 ***

    n    x(n)   z(n)       h(n)      h(n+1) ...

    1      .0   230.0    -419.0    -419.2
    3      .0   229.0    -419.1    -419.1
    5      .0   228.0    -420.7    -420.6
    7      .0   226.0    -421.5    -421.5
    9      .0   224.0    -418.3    -418.3
   11      .0   220.0    -400.5    -400.6
   13      .0   215.0    -363.1    -363.1
   15      .0   210.0    -317.1    -317.1
   17      .0   205.0    -270.5    -270.6
   19      .0   200.0    -227.8    -227.9
   21      .0   190.0    -166.3    -166.4
   23      .0   180.0    -143.7    -143.7
   25      .0   170.0    -128.0    -128.0
   27      .0   160.0    -114.3    -114.3
   29      .0   150.0    -101.8    -101.8
   31      .0   140.0     -90.2     -90.2
   33      .0   130.0     -79.1     -79.1
   35      .0   120.0     -68.4     -68.4
   37      .0   110.0     -58.0     -58.0
   39      .0   100.0     -47.8     -47.8
   41      .0    90.0     -37.6     -37.6
   43      .0    80.0     -27.6     -27.6
   45      .0    70.0     -17.6     -17.6
   47      .0    60.0      -7.5      -7.5
   49      .0    50.0       2.5       2.5
   51      .0    40.0      12.5      12.5
   53      .0    30.0      22.5      22.5
   55      .0    20.0      32.5      32.5
   57      .0    10.0      42.5      42.5
   59      .0     5.0      47.5      47.5
   61      .0     2.0      50.5      50.5
   63      .0     1.0      51.5      51.5
   65      .0      .0      52.5      52.5


 Time  ***    243.0000 ***

    n    x(n)   z(n)       h(n)      h(n+1) ...

    1      .0   230.0    -204.3    -204.3
    3      .0   229.0    -204.4    -204.4
    5      .0   228.0    -204.6    -204.6
    7      .0   226.0    -204.6    -204.6
    9      .0   224.0    -204.3    -204.3
   11      .0   220.0    -202.7    -202.7
   13      .0   215.0    -199.1    -199.1
   15      .0   210.0    -194.2    -194.2
   17      .0   205.0    -188.1    -188.1
   19      .0   200.0    -181.1    -181.1
   21      .0   190.0    -165.7    -165.7
   23      .0   180.0    -154.0    -154.0
   25      .0   170.0    -143.4    -143.4
   27      .0   160.0    -133.0    -133.0
   29      .0   150.0    -122.9    -122.9
   31      .0   140.0    -112.9    -112.9
   33      .0   130.0    -102.9    -102.9
   35      .0   120.0     -92.9     -92.9
   37      .0   110.0     -82.9     -82.9
   39      .0   100.0     -73.0     -73.0
