 Example 2 - Grass Field Problem (Hupselse Beek 1982)                    
 
 Program SWMS_2D
 Time dependent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = day  , M = -    


     Time         hAtm       hRoot     hKode3     hKode1      hSeep     hKode5     hKode6 ... 
      [T]          [L]        [L]        [L]        [L]        [L]        [L]        [L]

     90.0200      -55.1      -34.5      175.0         .0         .0         .0         .0
     90.0458      -55.1      -34.6      174.8         .0         .0         .0         .0
     90.0799      -55.2      -34.6      174.7         .0         .0         .0         .0
     90.1237      -55.3      -34.7      174.5         .0         .0         .0         .0
     90.1821      -55.5      -34.8      174.4         .0         .0         .0         .0
     90.2565      -55.8      -35.0      174.1         .0         .0         .0         .0
     90.3494      -56.1      -35.3      173.9         .0         .0         .0         .0
     90.4795      -56.5      -35.6      173.5         .0         .0         .0         .0
     90.6530      -57.1      -36.0      172.9         .0         .0         .0         .0
     90.8265      -57.6      -36.5      172.4         .0         .0         .0         .0
     91.0000      -58.2      -37.1      171.9         .0         .0         .0         .0
     91.0200      -57.9      -37.6      171.8         .0         .0         .0         .0
     91.0458      -57.8      -37.6      171.7         .0         .0         .0         .0
     91.0799      -57.8      -37.7      171.6         .0         .0         .0         .0
     91.1237      -57.8      -37.8      171.5         .0         .0         .0         .0
     91.1821      -57.8      -37.9      171.3         .0         .0         .0         .0
     91.2565      -57.9      -38.0      171.1         .0         .0         .0         .0
     91.3494      -58.1      -38.1      170.9         .0         .0         .0         .0
     91.4795      -58.3      -38.3      170.6         .0         .0         .0         .0
     91.6530      -58.7      -38.6      170.2         .0         .0         .0         .0
     91.8265      -59.1      -39.0      169.8         .0         .0         .0         .0
     92.0000      -59.4      -39.4      169.4         .0         .0         .0         .0
     92.0200      -59.7      -39.8      169.3         .0         .0         .0         .0
     92.0458      -59.9      -39.8      169.3         .0         .0         .0         .0
     92.0799      -59.9      -39.9      169.3         .0         .0         .0         .0
     92.1237      -60.1      -39.9      169.2         .0         .0         .0         .0
     92.1821      -60.3      -40.0      169.1         .0         .0         .0         .0
     92.2565      -60.5      -40.1      169.0         .0         .0         .0         .0
     92.3494      -60.7      -40.3      168.8         .0         .0         .0         .0
     92.4795      -61.1      -40.5      168.5         .0         .0         .0         .0
     92.6530      -61.5      -40.8      168.2         .0         .0         .0         .0
     92.8265      -61.9      -41.2      167.8         .0         .0         .0         .0
     93.0000      -62.2      -41.6      167.5         .0         .0         .0         .0
