


                         Node( 20)                      Node( 30)                      Node( 40)                      Node(

     time         hNew     theta     conc        hNew     theta     conc        hNew     theta     conc
     90.000    -25.000    .3700   .000E+00     25.000    .3390   .000E+00     75.000    .3390   .000E+00
     90.020    -25.048    .3700   .000E+00     24.982    .3390   .000E+00     74.982    .3390   .000E+00
     90.046    -25.075    .3699   .000E+00     24.895    .3390   .000E+00     74.852    .3390   .000E+00
     90.080    -25.176    .3698   .000E+00     24.798    .3390   .000E+00     74.756    .3390   .000E+00
     90.124    -25.309    .3696   .000E+00     24.671    .3390   .000E+00     74.629    .3390   .000E+00
     90.182    -25.489    .3694   .000E+00     24.497    .3390   .000E+00     74.455    .3390   .000E+00
     90.256    -25.719    .3691   .000E+00     24.271    .3390   .000E+00     74.229    .3390   .000E+00
     90.349    -26.007    .3687   .000E+00     23.989    .3390   .000E+00     73.947    .3390   .000E+00
     90.480    -26.413    .3681   .000E+00     23.587    .3390   .000E+00     73.545    .3390   .000E+00
     90.653    -26.953    .3674   .000E+00     23.052    .3390   .000E+00     73.011    .3390   .000E+00
     90.827    -27.492    .3667   .000E+00     22.518    .3390   .000E+00     72.477    .3390   .000E+00
     91.000    -28.024    .3660   .000E+00     21.992    .3390   .000E+00     71.952    .3390   .000E+00
     91.020    -28.094    .3659   .000E+00     21.925    .3390   .000E+00     71.886    .3390   .000E+00
     91.046    -28.178    .3658   .000E+00     21.844    .3390   .000E+00     71.805    .3390   .000E+00
     91.080    -28.283    .3656   .000E+00     21.739    .3390   .000E+00     71.700    .3390   .000E+00
     91.124    -28.411    .3655   .000E+00     21.606    .3390   .000E+00     71.567    .3390   .000E+00
     91.182    -28.571    .3653   .000E+00     21.438    .3390   .000E+00     71.399    .3390   .000E+00
     91.256    -28.763    .3650   .000E+00     21.237    .3390   .000E+00     71.198    .3390   .000E+00
     91.349    -28.991    .3647   .000E+00     21.002    .3390   .000E+00     70.964    .3390   .000E+00
     91.480    -29.300    .3643   .000E+00     20.686    .3390   .000E+00     70.648    .3390   .000E+00
     91.653    -29.703    .3637   .000E+00     20.279    .3390   .000E+00     70.241    .3390   .000E+00
     91.827    -30.099    .3632   .000E+00     19.882    .3390   .000E+00     69.845    .3390   .000E+00
     92.000    -30.486    .3627   .000E+00     19.503    .3390   .000E+00     69.466    .3390   .000E+00
     92.020    -30.520    .3627   .000E+00     19.456    .3390   .000E+00     69.420    .3390   .000E+00
     92.046    -30.560    .3627   .000E+00     19.409    .3390   .000E+00     69.372    .3390   .000E+00
     92.080    -30.574    .3626   .000E+00     19.395    .3390   .000E+00     69.358    .3390   .000E+00
     92.124    -30.635    .3625   .000E+00     19.332    .3390   .000E+00     69.295    .3390   .000E+00
     92.182    -30.742    .3624   .000E+00     19.228    .3390   .000E+00     69.192    .3390   .000E+00
     92.256    -30.886    .3622   .000E+00     19.092    .3390   .000E+00     69.055    .3390   .000E+00
     92.349    -31.074    .3619   .000E+00     18.914    .3390   .000E+00     68.877    .3390   .000E+00
     92.480    -31.343    .3616   .000E+00     18.655    .3390   .000E+00     68.618    .3390   .000E+00
     92.653    -31.706    .3611   .000E+00     18.302    .3390   .000E+00     68.266    .3390   .000E+00
     92.827    -32.069    .3606   .000E+00     17.948    .3390   .000E+00     67.912    .3390   .000E+00
     93.000    -32.433    .3602   .000E+00     17.590    .3390   .000E+00     67.555    .3390   .000E+00
     93.250    -33.232    .3591   .000E+00     16.878    .3390   .000E+00     66.843    .3390   .000E+00
     93.625    -34.455    .3575   .000E+00     15.713    .3390   .000E+00     65.679    .3390   .000E+00
     94.000    -35.691    .3559   .000E+00     14.517    .3390   .000E+00     64.483    .3390   .000E+00
     94.500    -37.875    .3532   .000E+00     12.507    .3390   .000E+00     62.475    .3390   .000E+00
     95.000    -40.011    .3505   .000E+00     10.479    .3390   .000E+00     60.449    .3390   .000E+00
     95.020    -40.063    .3504   .000E+00     10.402    .3390   .000E+00     60.373    .3390   .000E+00
     95.046    -40.134    .3503   .000E+00     10.308    .3390   .000E+00     60.279    .3390   .000E+00
