

 TLevel   Time         dt      Iter  ItCum

    1    .900E+02    .200E-01    1     1
    2    .900E+02    .258E-01    2     3
    3    .901E+02    .341E-01    2     5
    4    .901E+02    .438E-01    2     7
    5    .902E+02    .584E-01    2     9
    6    .903E+02    .744E-01    2    11
    7    .903E+02    .929E-01    2    13
    8    .905E+02    .130E+00    2    15
    9    .907E+02    .173E+00    2    17
   10    .908E+02    .173E+00    2    19
   11    .910E+02    .173E+00    2    21
   12    .910E+02    .200E-01    2    23
   13    .910E+02    .258E-01    2    25
   14    .911E+02    .341E-01    2    27
   15    .911E+02    .438E-01    2    29
   16    .912E+02    .584E-01    2    31
   17    .913E+02    .744E-01    2    33
   18    .913E+02    .929E-01    2    35
   19    .915E+02    .130E+00    2    37
   20    .917E+02    .173E+00    2    39
   21    .918E+02    .173E+00    2    41
   22    .920E+02    .173E+00    2    43
   23    .920E+02    .200E-01    2    45
   24    .920E+02    .258E-01    1    46
   25    .921E+02    .341E-01    1    47
   26    .921E+02    .438E-01    2    49
   27    .922E+02    .584E-01    2    51
   28    .923E+02    .744E-01    2    53
   29    .923E+02    .929E-01    2    55
   30    .925E+02    .130E+00    2    57
   31    .927E+02    .173E+00    2    59
   32    .928E+02    .173E+00    2    61
   33    .930E+02    .173E+00    2    63
   34    .933E+02    .250E+00    2    65
   35    .936E+02    .375E+00    2    67
   36    .940E+02    .375E+00    2    69
   37    .945E+02    .500E+00    3    72
   38    .950E+02    .500E+00    3    75
   39    .950E+02    .200E-01    2    77
   40    .950E+02    .258E-01    2    79
   41    .951E+02    .341E-01    2    81
   42    .951E+02    .438E-01    2    83
   43    .952E+02    .584E-01    2    85
   44    .953E+02    .744E-01    2    87
   45    .953E+02    .929E-01    2    89
   46    .955E+02    .130E+00    2    91
   47    .957E+02    .173E+00    2    93
   48    .958E+02    .173E+00    2    95
   49    .960E+02    .173E+00    2    97
   50    .960E+02    .200E-01    2    99
   51    .960E+02    .258E-01    2   101
   52    .961E+02    .341E-01    2   103
   53    .961E+02    .438E-01    2   105
   54    .962E+02    .584E-01    2   107
   55    .963E+02    .744E-01    2   109
   56    .963E+02    .929E-01    2   111
   57    .965E+02    .130E+00    2   113
   58    .967E+02    .173E+00    2   115
   59    .968E+02    .173E+00    2   117
   60    .970E+02    .173E+00    2   119
   61    .970E+02    .200E-01    2   121
   62    .970E+02    .258E-01    2   123
   63    .971E+02    .341E-01    2   125
   64    .971E+02    .438E-01    2   127
   65    .972E+02    .584E-01    2   129
   66    .973E+02    .744E-01    2   131
   67    .973E+02    .929E-01    2   133
   68    .975E+02    .130E+00    2   135
   69    .977E+02    .173E+00    2   137
   70    .978E+02    .173E+00    2   139
   71    .980E+02    .173E+00    2   141
   72    .980E+02    .200E-01    2   143
   73    .980E+02    .258E-01    2   145
   74    .981E+02    .341E-01    2   147
   75    .981E+02    .438E-01    2   149
   76    .982E+02    .584E-01    2   151
   77    .983E+02    .744E-01    2   153
   78    .983E+02    .929E-01    2   155
   79    .985E+02    .130E+00    2   157
   80    .987E+02    .173E+00    2   159
   81    .988E+02    .173E+00    2   161
   82    .990E+02    .173E+00    2   163
   83    .990E+02    .200E-01    2   165
   84    .990E+02    .258E-01    2   167
   85    .991E+02    .341E-01    2   169
   86    .991E+02    .438E-01    2   171
   87    .992E+02    .584E-01    2   173
   88    .993E+02    .744E-01    2   175
   89    .993E+02    .929E-01    2   177
   90    .995E+02    .130E+00    2   179
   91    .997E+02    .173E+00    2   181
   92    .998E+02    .173E+00    2   183
   93    .100E+03    .173E+00    2   185
   94    .100E+03    .200E-01    2   187
   95    .100E+03    .258E-01    2   189
   96    .100E+03    .341E-01    2   191
   97    .100E+03    .438E-01    2   193
   98    .100E+03    .584E-01    2   195
   99    .100E+03    .744E-01    2   197
  100    .100E+03    .929E-01    2   199
  101    .100E+03    .130E+00    2   201
  102    .101E+03    .173E+00    2   203
  103    .101E+03    .173E+00    2   205
  104    .101E+03    .173E+00    2   207
  105    .101E+03    .200E-01    2   209
  106    .101E+03    .258E-01    2   211
  107    .101E+03    .341E-01    2   213
  108    .101E+03    .438E-01    2   215
  109    .101E+03    .584E-01    2   217
  110    .101E+03    .744E-01    2   219
  111    .101E+03    .929E-01    2   221
  112    .101E+03    .130E+00    2   223
  113    .102E+03    .173E+00    2   225
  114    .102E+03    .173E+00    2   227
  115    .102E+03    .173E+00    2   229
  116    .102E+03    .200E-01    2   231
  117    .102E+03    .258E-01    2   233
  118    .102E+03    .341E-01    2   235
  119    .102E+03    .438E-01    2   237
  120    .102E+03    .584E-01    2   239
