 Example 2 - Grass Field Problem (Hupselse Beek 1982)

 Program SWMS_2D
 Time dependent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = day  , M = -


 Time  ***     90.0000 ***

    n    x(n)   z(n)      th(n)     th(n+1) ...

    1      .0   230.0  .333  .333
    3      .0   229.0  .334  .334
    5      .0   228.0  .335  .335
    7      .0   226.0  .337  .337
    9      .0   224.0  .340  .340
   11      .0   220.0  .344  .344
   13      .0   215.0  .351  .351
   15      .0   210.0  .357  .357
   17      .0   205.0  .363  .363
   19      .0   200.0  .370  .370
   21      .0   190.0  .383  .383
   23      .0   180.0  .337  .337
   25      .0   170.0  .339  .339
   27      .0   160.0  .339  .339
   29      .0   150.0  .339  .339
   31      .0   140.0  .339  .339
   33      .0   130.0  .339  .339
   35      .0   120.0  .339  .339
   37      .0   110.0  .339  .339
   39      .0   100.0  .339  .339
   41      .0    90.0  .339  .339
   43      .0    80.0  .339  .339
   45      .0    70.0  .339  .339
   47      .0    60.0  .339  .339
   49      .0    50.0  .339  .339
   51      .0    40.0  .339  .339
   53      .0    30.0  .339  .339
   55      .0    20.0  .339  .339
   57      .0    10.0  .339  .339
   59      .0     5.0  .339  .339
   61      .0     2.0  .339  .339
   63      .0     1.0  .339  .339
   65      .0      .0  .339  .339


 Time  ***    120.0000 ***

    n    x(n)   z(n)      th(n)     th(n+1) ...

    1      .0   230.0  .305  .305
    3      .0   229.0  .305  .305
    5      .0   228.0  .305  .305
    7      .0   226.0  .306  .306
    9      .0   224.0  .307  .307
   11      .0   220.0  .308  .308
   13      .0   215.0  .311  .311
   15      .0   210.0  .314  .314
   17      .0   205.0  .318  .318
   19      .0   200.0  .322  .322
   21      .0   190.0  .331  .331
   23      .0   180.0  .291  .291
   25      .0   170.0  .303  .303
   27      .0   160.0  .316  .316
   29      .0   150.0  .327  .327
   31      .0   140.0  .336  .336
   33      .0   130.0  .339  .339
   35      .0   120.0  .339  .339
   37      .0   110.0  .339  .339
   39      .0   100.0  .339  .339
   41      .0    90.0  .339  .339
   43      .0    80.0  .339  .339
   45      .0    70.0  .339  .339
   47      .0    60.0  .339  .339
   49      .0    50.0  .339  .339
   51      .0    40.0  .339  .339
   53      .0    30.0  .339  .339
   55      .0    20.0  .339  .339
   57      .0    10.0  .339  .339
   59      .0     5.0  .339  .339
   61      .0     2.0  .339  .339
   63      .0     1.0  .339  .339
   65      .0      .0  .339  .339


 Time  ***    151.0000 ***

    n    x(n)   z(n)      th(n)     th(n+1) ...

    1      .0   230.0  .263  .263
    3      .0   229.0  .263  .263
    5      .0   228.0  .264  .264
    7      .0   226.0  .265  .265
    9      .0   224.0  .266  .266
   11      .0   220.0  .269  .269
   13      .0   215.0  .274  .274
   15      .0   210.0  .279  .279
   17      .0   205.0  .285  .285
   19      .0   200.0  .292  .292
   21      .0   190.0  .306  .306
   23      .0   180.0  .262  .262
