 Example 2 - Grass Field Problem (Hupselse Beek 1982)

 Program SWMS_2D
 Time dependent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = day  , M = -


 Time  ***    120.0000 ***

    n    x(n)  z(n)     vx(n)     vx(n+1) ...

    1      .0   230.0  -.36E-03  -.47E-03
    3      .0   229.0  -.30E-03  -.32E-03
    5      .0   228.0  -.30E-03  -.37E-03
    7      .0   226.0  -.18E-03  -.18E-03
    9      .0   224.0  -.36E-03  -.32E-03
   11      .0   220.0  -.11E-03  -.28E-03
   13      .0   215.0   .20E-04  -.52E-04
   15      .0   210.0   .89E-05   .20E-04
   17      .0   205.0  -.53E-04  -.14E-05
   19      .0   200.0  -.15E-03  -.11E-03
   21      .0   190.0  -.10E-03  -.20E-03
   23      .0   180.0   .37E-03  -.18E-04
   25      .0   170.0   .26E-04   .28E-03
   27      .0   160.0   .33E-04   .39E-04
   29      .0   150.0   .23E-04   .40E-04
   31      .0   140.0   .21E-04   .25E-04
   33      .0   130.0   .43E-04   .50E-04
   35      .0   120.0   .00E+00   .22E-04
   37      .0   110.0   .00E+00   .00E+00
   39      .0   100.0   .00E+00   .00E+00
   41      .0    90.0   .00E+00   .00E+00
   43      .0    80.0   .00E+00   .00E+00
   45      .0    70.0   .00E+00   .00E+00
   47      .0    60.0   .00E+00   .00E+00
   49      .0    50.0   .00E+00   .00E+00
   51      .0    40.0   .00E+00   .00E+00
   53      .0    30.0   .00E+00   .00E+00
   55      .0    20.0   .00E+00   .00E+00
   57      .0    10.0   .00E+00   .00E+00
   59      .0     5.0   .00E+00   .00E+00
   61      .0     2.0   .00E+00   .00E+00
   63      .0     1.0   .00E+00   .00E+00
   65      .0      .0   .00E+00   .00E+00


 Time  ***    151.0000 ***

    n    x(n)  z(n)     vx(n)     vx(n+1) ...

    1      .0   230.0   .62E-05   .41E-03
    3      .0   229.0  -.49E-03  -.13E-03
    5      .0   228.0  -.46E-03  -.58E-03
    7      .0   226.0  -.11E-03  -.25E-03
    9      .0   224.0  -.20E-03  -.20E-03
   11      .0   220.0   .23E-04  -.13E-03
   13      .0   215.0   .14E-03   .89E-04
   15      .0   210.0   .16E-03   .16E-03
   17      .0   205.0   .37E-03   .21E-03
   19      .0   200.0   .83E-03   .62E-03
   21      .0   190.0   .80E-03   .13E-02
   23      .0   180.0  -.16E-02   .11E-02
   25      .0   170.0  -.82E-04  -.11E-02
   27      .0   160.0  -.78E-04  -.10E-03
   29      .0   150.0  -.88E-04  -.10E-03
   31      .0   140.0  -.89E-04  -.12E-03
   33      .0   130.0  -.73E-04  -.11E-03
   35      .0   120.0  -.51E-04  -.10E-03
   37      .0   110.0   .29E-04  -.29E-04
   39      .0   100.0   .00E+00   .14E-04
   41      .0    90.0   .00E+00   .00E+00
   43      .0    80.0   .00E+00   .00E+00
   45      .0    70.0   .00E+00   .00E+00
   47      .0    60.0   .00E+00   .00E+00
   49      .0    50.0   .00E+00   .00E+00
   51      .0    40.0   .00E+00   .00E+00
   53      .0    30.0   .00E+00   .00E+00
   55      .0    20.0   .00E+00   .00E+00
   57      .0    10.0   .00E+00   .00E+00
   59      .0     5.0   .00E+00   .00E+00
   61      .0     2.0   .00E+00   .00E+00
   63      .0     1.0   .00E+00   .00E+00
   65      .0      .0   .00E+00   .00E+00


 Time  ***    181.0000 ***

    n    x(n)  z(n)     vx(n)     vx(n+1) ...

    1      .0   230.0   .64E-03   .13E-02
    3      .0   229.0  -.35E-04   .42E-03
    5      .0   228.0  -.29E-04  -.37E-04
    7      .0   226.0   .52E-04  -.21E-04
    9      .0   224.0   .14E-03   .12E-03
   11      .0   220.0   .31E-04   .99E-04
   13      .0   215.0  -.10E-04   .15E-04
   15      .0   210.0  -.23E-04  -.17E-04
   17      .0   205.0   .69E-04  -.24E-04
   19      .0   200.0   .55E-04   .18E-03
