 Example 2 - Grass Field Problem (Hupselse Beek 1982)

 Program SWMS_2D
 Time dependent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = day  , M = -
 All fluxes (v) are positive out of the region

     Time       rAtm       rRoot      vAtm       vRoot      vKode3     vKode1     vSeep      vKode5     vKode6 ...
      [T]      [L/T]       [L/T]     [L/T]       [L/T]       [V/T]      [V/T]     [V/T]       [V/T]      [V/T]

     90.0200   .000E+00   .160E+00   .000E+00   .160E+00   .388E-01   .000E+00   .000E+00   .000E+00   .000E+00
     90.0458   .000E+00   .160E+00   .000E+00   .160E+00   .387E-01   .000E+00   .000E+00   .000E+00   .000E+00
     90.0799   .000E+00   .160E+00   .000E+00   .160E+00   .385E-01   .000E+00   .000E+00   .000E+00   .000E+00
     90.1237   .000E+00   .160E+00   .000E+00   .160E+00   .384E-01   .000E+00   .000E+00   .000E+00   .000E+00
     90.1821   .000E+00   .160E+00   .000E+00   .160E+00   .383E-01   .000E+00   .000E+00   .000E+00   .000E+00
     90.2565   .000E+00   .160E+00   .000E+00   .160E+00   .381E-01   .000E+00   .000E+00   .000E+00   .000E+00
     90.3494   .000E+00   .160E+00   .000E+00   .160E+00   .379E-01   .000E+00   .000E+00   .000E+00   .000E+00
     90.4795   .000E+00   .160E+00   .000E+00   .160E+00   .376E-01   .000E+00   .000E+00   .000E+00   .000E+00
     90.6530   .000E+00   .160E+00   .000E+00   .160E+00   .372E-01   .000E+00   .000E+00   .000E+00   .000E+00
     90.8265   .000E+00   .160E+00   .000E+00   .160E+00   .367E-01   .000E+00   .000E+00   .000E+00   .000E+00
     91.0000   .000E+00   .160E+00   .000E+00   .160E+00   .362E-01   .000E+00   .000E+00   .000E+00   .000E+00
     91.0200  -.700E-01   .180E+00  -.700E-01   .180E+00   .357E-01   .000E+00   .000E+00   .000E+00   .000E+00
     91.0458  -.700E-01   .180E+00  -.700E-01   .180E+00   .356E-01   .000E+00   .000E+00   .000E+00   .000E+00
     91.0799  -.700E-01   .180E+00  -.700E-01   .180E+00   .355E-01   .000E+00   .000E+00   .000E+00   .000E+00
     91.1237  -.700E-01   .180E+00  -.700E-01   .180E+00   .354E-01   .000E+00   .000E+00   .000E+00   .000E+00
     91.1821  -.700E-01   .180E+00  -.700E-01   .180E+00   .353E-01   .000E+00   .000E+00   .000E+00   .000E+00
     91.2565  -.700E-01   .180E+00  -.700E-01   .180E+00   .351E-01   .000E+00   .000E+00   .000E+00   .000E+00
     91.3494  -.700E-01   .180E+00  -.700E-01   .180E+00   .349E-01   .000E+00   .000E+00   .000E+00   .000E+00
     91.4795  -.700E-01   .180E+00  -.700E-01   .180E+00   .347E-01   .000E+00   .000E+00   .000E+00   .000E+00
