 Example 3a - Comparison with the 2-D analytical solution

 Program SWMS_2D
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = m    , T = days , M = -


 Time:     50.0000

    i    n    x      z    Code     Q          v           h       th      Conc
                                 [V/T]      [L/T]        [L]     [-]     [M/L3]

    1    1     .0     .0    1   .150E+00  -.300E-01         .0   .300  .100E+01
    2    2   10.0     .0    1   .300E+00  -.300E-01         .0   .300  .100E+01
    3    3   20.0     .0    1   .300E+00  -.300E-01         .0   .300  .100E+01
    4    4   30.0     .0    1   .300E+00  -.300E-01         .0   .300  .100E+01
    5    5   40.0     .0    1   .225E+00  -.300E-01         .0   .300  .100E+01
    6    6   45.0     .0    1   .135E+00  -.300E-01         .0   .300  .100E+01
    7    7   49.0     .0    1   .900E-01  -.300E-01         .0   .300  .100E+01
    8    8   51.0     .0    1   .900E-01  -.300E-01         .0   .300 -.208E-30
    9    9   55.0     .0    1   .135E+00  -.300E-01         .0   .300 -.110E-31
   10   10   60.0     .0    1   .180E+00  -.300E-01         .0   .300 -.394E-32
   11   11   67.0     .0    1   .225E+00  -.300E-01         .0   .300 -.767E-33
   12   12   75.0     .0    1   .270E+00  -.300E-01         .0   .300 -.967E-34
   13   13   85.0     .0    1   .375E+00  -.300E-01         .0   .300 -.697E-35
   14   14  100.0     .0    1   .525E+00  -.300E-01         .0   .300 -.121E-36
   15   15  120.0     .0    1   .300E+00  -.300E-01         .0   .300  .000E+00
   16  301     .0 -200.0    2  -.150E+00   .300E-01         .0   .300  .151E-16
   17  302   10.0 -200.0    2  -.300E+00   .300E-01         .0   .300  .197E-16
   18  303   20.0 -200.0    2  -.300E+00   .300E-01         .0   .300  .275E-16
   19  304   30.0 -200.0    2  -.300E+00   .300E-01         .0   .300  .329E-16
   20  305   40.0 -200.0    2  -.225E+00   .300E-01         .0   .300  .367E-16
   21  306   45.0 -200.0    2  -.135E+00   .300E-01         .0   .300  .356E-16
   22  307   49.0 -200.0    2  -.900E-01   .300E-01         .0   .300  .305E-16
