 Example 4 - Infiltration Test

 Program SWMS_2D
 Time independent boundary conditions
 Axisymmetric flow, V = L*L*L
 Units: L = cm   , T = min  , M = -
 All cumulative fluxes (CumQ) are positive out of the region

     Time     CumQAP      CumQRP     CumQA      CumQR     CumQ3       CumQ1      CumQS      CumQ5       CumQ6 ....
      [T]       [V]         [V]       [V]        [V]       [V]         [V]        [V]        [V]         [V]

       .1000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.570E+02   .000E+00   .000E+00   .000E+00
       .2331   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.112E+03   .000E+00   .000E+00   .000E+00
       .4099   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.166E+03   .000E+00   .000E+00   .000E+00
       .6455   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.218E+03   .000E+00   .000E+00   .000E+00
       .9579   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.270E+03   .000E+00   .000E+00   .000E+00
      1.3737   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.325E+03   .000E+00   .000E+00   .000E+00
      1.7894   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.373E+03   .000E+00   .000E+00   .000E+00
      2.2052   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.415E+03   .000E+00   .000E+00   .000E+00
      2.6210   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.454E+03   .000E+00   .000E+00   .000E+00
      3.0368   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.490E+03   .000E+00   .000E+00   .000E+00
      3.4526   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.525E+03   .000E+00   .000E+00   .000E+00
      4.0070   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.568E+03   .000E+00   .000E+00   .000E+00
      4.5614   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.608E+03   .000E+00   .000E+00   .000E+00
      5.1158   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.647E+03   .000E+00   .000E+00   .000E+00
      5.8475   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.696E+03   .000E+00   .000E+00   .000E+00
      6.5793   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.743E+03   .000E+00   .000E+00   .000E+00
      7.3111   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.789E+03   .000E+00   .000E+00   .000E+00
      8.2868   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.847E+03   .000E+00   .000E+00   .000E+00
      9.2626   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.903E+03   .000E+00   .000E+00   .000E+00
     10.2383   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.957E+03   .000E+00   .000E+00   .000E+00
     11.5478   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.103E+04   .000E+00   .000E+00   .000E+00
