 Example 4 - Infiltration Test                                           
 
 Program SWMS_2D
 Time independent boundary conditions
 Axisymmetric flow, V = L*L*L
 Units: L = cm   , T = min  , M = -    


     Time         hAtm       hRoot     hKode3     hKode1      hSeep     hKode5     hKode6 ... 
      [T]          [L]        [L]        [L]        [L]        [L]        [L]        [L]

       .1000         .0         .0         .0         .0         .0         .0         .0
       .2331         .0         .0         .0         .0         .0         .0         .0
       .4099         .0         .0         .0         .0         .0         .0         .0
       .6455         .0         .0         .0         .0         .0         .0         .0
       .9579         .0         .0         .0         .0         .0         .0         .0
      1.3737         .0         .0         .0         .0         .0         .0         .0
      1.7894         .0         .0         .0         .0         .0         .0         .0
      2.2052         .0         .0         .0         .0         .0         .0         .0
      2.6210         .0         .0         .0         .0         .0         .0         .0
      3.0368         .0         .0         .0         .0         .0         .0         .0
      3.4526         .0         .0         .0         .0         .0         .0         .0
      4.0070         .0         .0         .0         .0         .0         .0         .0
      4.5614         .0         .0         .0         .0         .0         .0         .0
      5.1158         .0         .0         .0         .0         .0         .0         .0
      5.8475         .0         .0         .0         .0         .0         .0         .0
      6.5793         .0         .0         .0         .0         .0         .0         .0
      7.3111         .0         .0         .0         .0         .0         .0         .0
      8.2868         .0         .0         .0         .0         .0         .0         .0
      9.2626         .0         .0         .0         .0         .0         .0         .0
     10.2383         .0         .0         .0         .0         .0         .0         .0
     11.5478         .0         .0         .0         .0         .0         .0         .0
     12.8573         .0         .0         .0         .0         .0         .0         .0
     14.1668         .0         .0         .0         .0         .0         .0         .0
     15.4764         .0         .0         .0         .0         .0         .0         .0
     17.1888         .0         .0         .0         .0         .0         .0         .0
     18.9013         .0         .0         .0         .0         .0         .0         .0
     20.6137         .0         .0         .0         .0         .0         .0         .0
     22.9305         .0         .0         .0         .0         .0         .0         .0
     25.2474         .0         .0         .0         .0         .0         .0         .0
     27.5642         .0         .0         .0         .0         .0         .0         .0
     30.5129         .0         .0         .0         .0         .0         .0         .0
     33.4616         .0         .0         .0         .0         .0         .0         .0
     36.4104         .0         .0         .0         .0         .0         .0         .0
     40.3420         .0         .0         .0         .0         .0         .0         .0
     44.2736         .0         .0         .0         .0         .0         .0         .0
     48.2052         .0         .0         .0         .0         .0         .0         .0
     54.1026         .0         .0         .0         .0         .0         .0         .0
     60.0000         .0         .0         .0         .0         .0         .0         .0
     65.4545         .0         .0         .0         .0         .0         .0         .0
     70.9091         .0         .0         .0         .0         .0         .0         .0
