

 TLevel   Time         dt      Iter  ItCum  Peclet   Courant

    1    .100E+00    .100E+00    3     3     6.517      .106
    2    .233E+00    .133E+00    3     6     6.453      .105
    3    .410E+00    .177E+00    3     9     6.267      .103
    4    .645E+00    .236E+00    3    12     5.978      .100
    5    .958E+00    .312E+00    3    15     5.665      .097
    6    .137E+01    .416E+00    4    19     5.412      .098
    7    .179E+01    .416E+00    4    23     5.263      .081
    8    .221E+01    .416E+00    4    27     5.166      .071
    9    .262E+01    .416E+00    4    31     5.092      .065
   10    .304E+01    .416E+00    4    35     5.030      .060
   11    .345E+01    .416E+00    3    38     4.978      .056
   12    .401E+01    .554E+00    4    42     4.910      .069
   13    .456E+01    .554E+00    4    46     4.849      .065
   14    .512E+01    .554E+00    3    49     4.797      .061
   15    .585E+01    .732E+00    4    53     4.729      .076
   16    .658E+01    .732E+00    4    57     4.673      .073
   17    .731E+01    .732E+00    3    60     4.626      .070
   18    .829E+01    .976E+00    4    64     4.569      .089
   19    .926E+01    .976E+00    4    68     4.723      .086
   20    .102E+02    .976E+00    3    71     4.952      .083
   21    .115E+02    .131E+01    4    75     5.164      .106
   22    .129E+02    .131E+01    4    79     5.291      .102
   23    .142E+02    .131E+01    4    83     5.361      .099
   24    .155E+02    .131E+01    3    86     5.397      .096
   25    .172E+02    .171E+01    4    90     5.394      .121
   26    .189E+02    .171E+01    4    94     5.365      .117
   27    .206E+02    .171E+01    3    97     5.333      .114
   28    .229E+02    .232E+01    4   101     5.278      .149
   29    .252E+02    .232E+01    4   105     5.227      .144
   30    .276E+02    .232E+01    3   108     5.194      .141
   31    .305E+02    .295E+01    4   112     5.146      .174
   32    .335E+02    .295E+01    4   116     5.316      .169
   33    .364E+02    .295E+01    3   119     5.439      .166
   34    .403E+02    .393E+01    4   123     5.517      .214
   35    .443E+02    .393E+01    4   127     5.544      .209
   36    .482E+02    .393E+01    3   130     5.558      .205
   37    .541E+02    .590E+01    4   134     5.538      .298
   38    .600E+02    .590E+01    4   138     5.510      .291
   39    .655E+02    .545E+01    4   142     5.481      .263
