 Example 4 - Infiltration Test

 Program SWMS_2D
 Time independent boundary conditions
 Axisymmetric flow, V = L*L*L
 Units: L = cm   , T = min  , M = -
 All fluxes (v) are positive out of the region

     Time       rAtm       rRoot      vAtm       vRoot      vKode3     vKode1     vSeep      vKode5     vKode6 ...
      [T]      [L/T]       [L/T]     [L/T]       [L/T]       [V/T]      [V/T]     [V/T]       [V/T]      [V/T]

       .1000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.570E+03   .000E+00   .000E+00   .000E+00
       .2331   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.415E+03   .000E+00   .000E+00   .000E+00
       .4099   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.303E+03   .000E+00   .000E+00   .000E+00
       .6455   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.222E+03   .000E+00   .000E+00   .000E+00
       .9579   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.167E+03   .000E+00   .000E+00   .000E+00
      1.3737   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.132E+03   .000E+00   .000E+00   .000E+00
      1.7894   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.113E+03   .000E+00   .000E+00   .000E+00
      2.2052   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.102E+03   .000E+00   .000E+00   .000E+00
      2.6210   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.938E+02   .000E+00   .000E+00   .000E+00
      3.0368   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.876E+02   .000E+00   .000E+00   .000E+00
      3.4526   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.826E+02   .000E+00   .000E+00   .000E+00
      4.0070   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.774E+02   .000E+00   .000E+00   .000E+00
      4.5614   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.733E+02   .000E+00   .000E+00   .000E+00
      5.1158   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.702E+02   .000E+00   .000E+00   .000E+00
      5.8475   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.668E+02   .000E+00   .000E+00   .000E+00
      6.5793   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.642E+02   .000E+00   .000E+00   .000E+00
      7.3111   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.621E+02   .000E+00   .000E+00   .000E+00
      8.2868   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.596E+02   .000E+00   .000E+00   .000E+00
      9.2626   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.575E+02   .000E+00   .000E+00   .000E+00
