 Example 2 - Grass Field Problem (Hupselse Beek 1982)

 Program SWMS_3D
 Date:  21. 7.    Time:  12:34:19
 Time dependent boundary conditions
 Units: L = cm   , T = day  , M = -
 All cumulative fluxes (CumQ) are positive out of the region

     Time     CumQAP      CumQRP     CumQA      CumQR     CumQ3       CumQ1      CumQS      CumQ5       CumQ6 ....
      [T]      [L3]        [L3]       [L3]       [L3]      [L3]        [L3]       [L3]       [L3]        [L3]

     90.0200   .000E+00   .320E-02   .000E+00   .320E-02   .775E-03   .000E+00   .000E+00   .000E+00   .000E+00
     90.0458   .000E+00   .733E-02   .000E+00   .733E-02   .177E-02   .000E+00   .000E+00   .000E+00   .000E+00
     90.0799   .000E+00   .128E-01   .000E+00   .128E-01   .309E-02   .000E+00   .000E+00   .000E+00   .000E+00
     90.1237   .000E+00   .198E-01   .000E+00   .198E-01   .477E-02   .000E+00   .000E+00   .000E+00   .000E+00
     90.1821   .000E+00   .291E-01   .000E+00   .291E-01   .701E-02   .000E+00   .000E+00   .000E+00   .000E+00
     90.2565   .000E+00   .410E-01   .000E+00   .410E-01   .984E-02   .000E+00   .000E+00   .000E+00   .000E+00
     90.3494   .000E+00   .559E-01   .000E+00   .559E-01   .134E-01   .000E+00   .000E+00   .000E+00   .000E+00
     90.4795   .000E+00   .767E-01   .000E+00   .767E-01   .183E-01   .000E+00   .000E+00   .000E+00   .000E+00
     90.6530   .000E+00   .104E+00   .000E+00   .104E+00   .247E-01   .000E+00   .000E+00   .000E+00   .000E+00
     90.8265   .000E+00   .132E+00   .000E+00   .132E+00   .311E-01   .000E+00   .000E+00   .000E+00   .000E+00
     91.0000   .000E+00   .160E+00   .000E+00   .160E+00   .373E-01   .000E+00   .000E+00   .000E+00   .000E+00
     91.2500  -.175E-01   .205E+00  -.175E-01   .205E+00   .463E-01   .000E+00   .000E+00   .000E+00   .000E+00
     91.6250  -.437E-01   .273E+00  -.437E-01   .273E+00   .594E-01   .000E+00   .000E+00   .000E+00   .000E+00
     92.0000  -.700E-01   .340E+00  -.700E-01   .340E+00   .722E-01   .000E+00   .000E+00   .000E+00   .000E+00
     92.5000  -.800E-01   .405E+00  -.800E-01   .405E+00   .889E-01   .000E+00   .000E+00   .000E+00   .000E+00
     93.0000  -.900E-01   .470E+00  -.900E-01   .470E+00   .105E+00   .000E+00   .000E+00   .000E+00   .000E+00
     93.5000  -.900E-01   .570E+00  -.900E-01   .570E+00   .121E+00   .000E+00   .000E+00   .000E+00   .000E+00
     94.0000  -.900E-01   .670E+00  -.900E-01   .670E+00   .136E+00   .000E+00   .000E+00   .000E+00   .000E+00
     94.5000  -.900E-01   .810E+00  -.900E-01   .810E+00   .151E+00   .000E+00   .000E+00   .000E+00   .000E+00
     95.0000  -.900E-01   .950E+00  -.900E-01   .950E+00   .164E+00   .000E+00   .000E+00   .000E+00   .000E+00
     95.5000  -.125E+00   .104E+01  -.125E+00   .104E+01   .178E+00   .000E+00   .000E+00   .000E+00   .000E+00
     96.0000  -.160E+00   .113E+01  -.160E+00   .113E+01   .190E+00   .000E+00   .000E+00   .000E+00   .000E+00
     96.5000  -.305E+00   .117E+01  -.305E+00   .117E+01   .202E+00   .000E+00   .000E+00   .000E+00   .000E+00
     97.0000  -.450E+00   .121E+01  -.450E+00   .121E+01   .215E+00   .000E+00   .000E+00   .000E+00   .000E+00
     97.5000  -.670E+00   .128E+01  -.670E+00   .128E+01   .227E+00   .000E+00   .000E+00   .000E+00   .000E+00
