 Example 2 - Grass Field Problem (Hupselse Beek 1982)                    
 
 Program SWMS_3D
 Date:  21. 7.    Time:  12:34:19
 Time dependent boundary conditions
 Units: L = cm   , T = day  , M = -    


     Time         hAtm       hRoot     hKode3     hKode1      hSeep     hKode5     hKode6 ... 
      [T]          [L]        [L]        [L]        [L]        [L]        [L]        [L]

     90.0200      -55.1      -34.5      175.0         .0         .0         .0         .0
     90.0458      -55.1      -34.6      174.8         .0         .0         .0         .0
     90.0799      -55.2      -34.6      174.7         .0         .0         .0         .0
     90.1237      -55.3      -34.7      174.5         .0         .0         .0         .0
     90.1821      -55.5      -34.8      174.4         .0         .0         .0         .0
     90.2565      -55.8      -35.0      174.1         .0         .0         .0         .0
     90.3494      -56.1      -35.3      173.9         .0         .0         .0         .0
     90.4795      -56.5      -35.6      173.5         .0         .0         .0         .0
     90.6530      -57.1      -36.0      172.9         .0         .0         .0         .0
     90.8265      -57.6      -36.5      172.4         .0         .0         .0         .0
     91.0000      -58.2      -37.1      171.9         .0         .0         .0         .0
     91.2500      -58.0      -37.6      171.2         .0         .0         .0         .0
     91.6250      -58.7      -38.1      170.2         .0         .0         .0         .0
     92.0000      -59.5      -39.0      169.4         .0         .0         .0         .0
     92.5000      -61.1      -39.8      168.4         .0         .0         .0         .0
     93.0000      -62.3      -40.9      167.4         .0         .0         .0         .0
     93.5000      -64.5      -42.0      165.9         .0         .0         .0         .0
     94.0000      -66.3      -43.8      164.3         .0         .0         .0         .0
     94.5000      -68.9      -45.5      162.3         .0         .0         .0         .0
     95.0000      -71.2      -47.9      160.3         .0         .0         .0         .0
     95.5000      -70.7      -50.1      159.0         .0         .0         .0         .0
     96.0000      -71.2      -50.8      158.0         .0         .0         .0         .0
     96.5000      -65.7      -51.6      158.1         .0         .0         .0         .0
     97.0000      -63.6      -49.7      159.0         .0         .0         .0         .0
     97.5000      -59.7      -48.2      160.3         .0         .0         .0         .0
     98.0000      -57.8      -46.1      162.1         .0         .0         .0         .0
     98.5000      -60.6      -44.1      163.3         .0         .0         .0         .0
     99.0000      -60.9      -44.1      164.0         .0         .0         .0         .0
     99.5000      -58.9      -43.8      164.9         .0         .0         .0         .0
    100.0000      -57.8      -42.6      166.0         .0         .0         .0         .0
    100.5000      -56.3      -41.5      167.2         .0         .0         .0         .0
    101.0000      -55.1      -40.2      168.6         .0         .0         .0         .0
    101.5000      -51.1      -38.9      170.9         .0         .0         .0         .0
