

 TLevel   Time         dt        Peclet   Courant   PeCrMax

    1    .100E+01    .100E+01    25.000      .067      .333
    2    .229E+01    .129E+01    25.000      .086      .430
    3    .399E+01    .170E+01    25.000      .114      .568
    4    .618E+01    .219E+01    25.000      .146      .730
    5    .911E+01    .292E+01    25.000      .195      .974
    6    .128E+02    .372E+01    25.000      .248     1.239
    7    .175E+02    .465E+01    25.000      .310     1.549
    8    .240E+02    .651E+01    25.000      .434     2.169
    9    .327E+02    .867E+01    25.000      .578     2.892
   10    .413E+02    .867E+01    25.000      .578     2.892
   11    .500E+02    .867E+01    25.000      .578     2.892
   12    .625E+02    .125E+02    25.000      .833     4.167
   13    .750E+02    .125E+02    25.000      .833     4.167
   14    .875E+02    .125E+02    25.000      .833     4.167
   15    .100E+03    .125E+02    25.000      .833     4.167
   16    .115E+03    .147E+02    25.000      .981     4.907
   17    .129E+03    .147E+02    25.000      .981     4.907
   18    .144E+03    .147E+02    25.000      .981     4.907
   19    .159E+03    .147E+02    25.000      .981     4.907
   20    .174E+03    .147E+02    25.000      .981     4.907
   21    .188E+03    .147E+02    25.000      .981     4.907
   22    .203E+03    .147E+02    25.000      .981     4.907
   23    .218E+03    .147E+02    25.000      .981     4.907
   24    .233E+03    .147E+02    25.000      .981     4.907
   25    .247E+03    .147E+02    25.000      .981     4.907
   26    .262E+03    .147E+02    25.000      .981     4.907
   27    .277E+03    .147E+02    25.000      .981     4.907
   28    .291E+03    .147E+02    25.000      .981     4.907
   29    .306E+03    .147E+02    25.000      .981     4.907
   30    .321E+03    .147E+02    25.000      .981     4.907
   31    .336E+03    .147E+02    25.000      .981     4.907
   32    .350E+03    .147E+02    25.000      .981     4.907
   33    .365E+03    .147E+02    25.000      .981     4.907
 
 Real time [sec]     161.000000000000000
