 Example 1 - Column Test

 Program SWMS_3D
 Date:   6. 3.    Time:  15:50:52
 Time independent boundary conditions
 Units: L = cm   , T = day  , M = -


     Time         hAtm       hRoot     hKode3     hKode1      hSeep     hKode5     hKode6 ...
      [T]          [L]        [L]        [L]        [L]        [L]        [L]        [L]

       .2500         .0         .0         .0       12.4        -.1         .0         .0
      1.5000         .0         .0         .0       12.4        -.7         .0         .0
      5.0000         .0         .0         .0       12.4       -1.0         .0         .0
     10.0000         .0         .0         .0       12.4       -1.2         .0         .0
     20.0000         .0         .0         .0       12.4       -1.3         .0         .0
     30.0000         .0         .0         .0       12.4       -1.3         .0         .0
     50.0000         .0         .0         .0       12.4       -1.3         .0         .0
    100.0000         .0         .0         .0       12.4       -1.3         .0         .0
    200.0000         .0         .0         .0       12.4       -1.3         .0         .0
