


                         Node(***)                      Node(***)                      Node(***)                      Node(***)                      Node(

     time         hNew     theta     conc        hNew     theta     conc        hNew     theta     conc        hNew     theta     conc    
       .000     -4.308    .0727   .000E+00      2.846    .4500   .000E+00      6.462    .4500   .000E+00       .000    .4500   .000E+00
       .000     -4.308    .0727   .185E-26      2.469    .4500   .000E+00      6.156    .4500   .000E+00       .000    .4500   .000E+00
       .000     -4.308    .0727   .364E-26      2.469    .4500   .000E+00      6.156    .4500   .000E+00       .000    .4500   .000E+00
       .000     -4.308    .0727   .734E-26      2.469    .4500   .000E+00      6.156    .4500   .000E+00       .000    .4500   .000E+00
       .000     -4.308    .0727   .148E-25      2.469    .4500   .000E+00      6.156    .4500   .000E+00       .000    .4500   .000E+00
       .000     -4.308    .0727   .293E-25      2.469    .4500   .000E+00      6.156    .4500   .000E+00       .000    .4500   .000E+00
       .000     -4.308    .0727   .561E-25      2.469    .4500   .000E+00      6.156    .4500   .000E+00       .000    .4500   .000E+00
       .000     -4.308    .0727   .104E-24      2.469    .4500   .000E+00      6.156    .4500   .000E+00       .000    .4500   .000E+00
       .000     -4.308    .0727   .189E-24      2.469    .4500   .000E+00      6.156    .4500   .000E+00       .000    .4500   .000E+00
       .000     -4.308    .0727   .334E-24      2.469    .4500   .000E+00      6.156    .4500   .000E+00       .000    .4500   .000E+00
       .000     -4.308    .0727   .576E-24      2.469    .4500   .000E+00      6.156    .4500   .000E+00       .000    .4500   .000E+00
       .000     -4.308    .0727   .975E-24      2.469    .4500   .000E+00      6.156    .4500   .000E+00       .000    .4500   .000E+00
       .000     -4.308    .0727   .162E-23      2.469    .4500   .000E+00      6.156    .4500   .000E+00       .000    .4500   .000E+00
       .000     -4.308    .0727   .266E-23      2.469    .4500   .000E+00      6.156    .4500   .000E+00       .000    .4500   .000E+00
       .000     -4.308    .0727   .432E-23      2.469    .4500   .000E+00      6.156    .4500   .000E+00       .000    .4500   .000E+00
       .000     -4.308    .0727   .692E-23      2.469    .4500   .000E+00      6.156    .4500   .000E+00       .000    .4500   .000E+00
       .000     -4.308    .0727   .110E-22      2.469    .4500   .000E+00      6.156    .4500   .000E+00       .000    .4500   .000E+00
       .000     -4.308    .0727   .173E-22      2.469    .4500   .000E+00      6.156    .4500   .000E+00       .000    .4500   .000E+00
       .000     -4.308    .0727   .271E-22      2.468    .4500   .000E+00      6.156    .4500   .000E+00       .000    .4500   .000E+00
       .000     -4.308    .0727   .420E-22      2.468    .4500   .000E+00      6.156    .4500   .000E+00       .000    .4500   .000E+00
       .000     -4.308    .0727   .649E-22      2.468    .4500   .000E+00      6.156    .4500   .000E+00       .000    .4500   .000E+00
       .000     -4.308    .0727   .996E-22      2.468    .4500   .000E+00      6.156    .4500   .000E+00       .000    .4500   .000E+00
       .000     -4.308    .0727   .152E-21      2.468    .4500   .000E+00      6.156    .4500   .000E+00       .000    .4500   .000E+00
       .000     -4.308    .0727   .232E-21      2.468    .4500   .000E+00      6.156    .4500   .000E+00       .000    .4500   .000E+00
       .000     -4.308    .0727   .352E-21      2.468    .4500   .000E+00      6.156    .4500   .000E+00       .000    .4500   .000E+00
       .000     -4.308    .0727   .532E-21      2.468    .4500   .000E+00      6.156    .4500   .000E+00       .000    .4500   .000E+00
       .000     -4.308    .0727   .802E-21      2.468    .4500   .000E+00      6.156    .4500   .000E+00       .000    .4500   .000E+00
       .000     -4.308    .0727   .121E-20      2.468    .4500   .000E+00      6.156    .4500   .000E+00       .000    .4500   .000E+00
       .000     -4.308    .0727   .181E-20      2.468    .4500   .000E+00      6.155    .4500   .000E+00       .000    .4500   .000E+00
       .000     -4.308    .0727   .271E-20      2.468    .4500   .000E+00      6.155    .4500   .000E+00       .000    .4500   .000E+00
       .001     -4.308    .0727   .406E-20      2.468    .4500   .000E+00      6.155    .4500   .000E+00       .000    .4500   .000E+00
       .001     -4.308    .0727   .607E-20      2.467    .4500   .000E+00      6.155    .4500   .000E+00       .000    .4500   .000E+00
       .001     -4.308    .0727   .905E-20      2.467    .4500   .000E+00      6.155    .4500   .000E+00       .000    .4500   .000E+00
       .001     -4.308    .0727   .135E-19      2.467    .4500   .000E+00      6.155    .4500   .000E+00       .000    .4500   .000E+00
       .001     -4.308    .0727   .201E-19      2.467    .4500   .000E+00      6.155    .4500   .000E+00       .000    .4500   .000E+00
       .001     -4.308    .0727   .300E-19      2.467    .4500   .000E+00      6.155    .4500   .000E+00       .000    .4500   .000E+00
       .001     -4.308    .0727   .446E-19      2.467    .4500   .000E+00      6.155    .4500   .000E+00       .000    .4500   .000E+00
       .001     -4.308    .0727   .665E-19      2.467    .4500   .000E+00      6.154    .4500   .000E+00       .000    .4500   .000E+00
       .001     -4.308    .0727   .991E-19      2.466    .4500   .000E+00      6.154    .4500   .000E+00       .000    .4500   .000E+00
       .001     -4.308    .0727   .148E-18      2.466    .4500   .000E+00      6.154    .4500   .000E+00       .000    .4500   .000E+00
       .001     -4.308    .0727   .221E-18      2.466    .4500   .000E+00      6.154    .4500   .000E+00       .000    .4500   .000E+00
       .001     -4.308    .0727   .330E-18      2.466    .4500   .000E+00      6.153    .4500   .000E+00       .000    .4500   .000E+00
       .002     -4.308    .0727   .494E-18      2.465    .4500   .000E+00      6.153    .4500   .000E+00       .000    .4500   .000E+00
       .002     -4.308    .0727   .742E-18      2.465    .4500   .000E+00      6.153    .4500   .000E+00       .000    .4500   .000E+00
       .002     -4.308    .0727   .112E-17      2.465    .4500   .000E+00      6.153    .4500   .000E+00       .000    .4500   .000E+00
       .002     -4.308    .0727   .169E-17      2.464    .4500   .000E+00      6.152    .4500   .000E+00       .000    .4500   .000E+00
       .002     -4.308    .0727   .256E-17      2.464    .4500   .000E+00      6.152    .4500   .000E+00       .000    .4500   .000E+00
