 Example 1 - Column Test

 Program SWMS_3D
 Date:   6. 3.    Time:  15:50:52
 Time independent boundary conditions
 Units: L = cm   , T = day  , M = -
 All fluxes (v) are positive out of the region

     Time       rAtm       rRoot      vAtm       vRoot      vKode3     vKode1     vSeep      vKode5     vKode6 ...
      [T]      [L/T]       [L/T]     [L/T]       [L/T]      [L3/T]     [L3/T]    [L3/T]      [L3/T]     [L3/T]

       .2500   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.274E+03   .107E+03   .000E+00   .000E+00
      1.5000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.414E+03   .546E+02   .000E+00   .000E+00
      5.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.452E+02   .288E+02   .000E+00   .000E+00
     10.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.125E+02   .185E+02   .000E+00   .000E+00
     20.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.366E+02   .149E+02   .000E+00   .000E+00
     30.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.269E+02   .149E+02   .000E+00   .000E+00
     50.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.179E+02   .153E+02   .000E+00   .000E+00
    100.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.155E+02   .154E+02   .000E+00   .000E+00
    200.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.153E+02   .154E+02   .000E+00   .000E+00
